Date, Open, Close, High, Low, Volume
2021-02-03T05:00:00Z,28.180000,28.120000,28.229000,28.057400,24940
2021-02-04T05:00:00Z,28.120000,28.340000,28.350000,28.103300,60995
2021-02-05T05:00:00Z,28.480000,28.510000,28.600000,28.455000,25819
2021-02-08T05:00:00Z,28.540000,28.330000,28.540000,28.220000,35843
2021-02-09T05:00:00Z,28.400000,28.397800,28.470000,28.190500,96150
2021-02-10T05:00:00Z,28.530000,28.600000,28.657900,28.420000,35752
2021-02-11T05:00:00Z,28.600000,28.450000,28.670000,28.405000,44824
2021-02-12T05:00:00Z,28.360000,28.350000,28.460000,28.240500,30370
2021-02-16T05:00:00Z,28.390000,28.210000,28.390000,28.138800,57881
2021-02-17T05:00:00Z,28.200000,28.259900,28.259900,28.090000,42227
2021-02-18T05:00:00Z,28.250000,28.390000,28.450000,28.250000,119748
2021-02-19T05:00:00Z,28.420000,28.180000,28.420000,28.160000,25121
2021-02-22T05:00:00Z,28.150000,27.760000,28.150000,27.524600,36532
2021-02-23T05:00:00Z,27.800000,28.060000,28.129400,27.741200,55830
2021-02-24T05:00:00Z,28.030000,27.900000,28.100000,27.850000,45249
2021-02-25T05:00:00Z,27.920000,27.585000,28.000000,27.540000,35958
2021-02-26T05:00:00Z,27.480000,26.710000,27.480000,26.710000,86332
2021-03-01T05:00:00Z,27.140000,27.260000,27.541000,27.140000,81588
2021-03-02T05:00:00Z,27.280000,27.150000,27.324400,26.987900,62301
2021-03-03T05:00:00Z,27.170000,27.110000,27.170000,26.790000,110497
2021-03-04T05:00:00Z,27.090000,27.270000,27.690000,27.090000,107912
2021-03-05T05:00:00Z,27.540000,27.890000,28.010000,27.401000,66736
2021-03-08T05:00:00Z,27.910000,28.440000,28.580000,27.910000,60067
2021-03-09T05:00:00Z,28.530000,28.520000,28.680000,28.470900,58696
2021-03-10T05:00:00Z,28.500000,28.760000,28.850000,28.500000,47358
2021-03-11T05:00:00Z,28.739600,28.590000,28.888800,28.590000,59195
2021-03-12T05:00:00Z,28.540000,28.980000,29.050000,28.540000,54594
2021-03-15T04:00:00Z,29.300000,29.580000,29.580000,29.190100,89034
2021-03-16T04:00:00Z,29.500000,29.530000,29.590000,29.430000,63957
2021-03-17T04:00:00Z,29.310000,28.980000,29.334700,28.951500,44568
2021-03-18T04:00:00Z,28.970000,29.010000,29.130000,28.910000,31272
2021-03-19T04:00:00Z,28.990000,29.170000,29.370000,28.810000,60192
2021-03-22T04:00:00Z,29.110000,28.890000,29.110000,28.750000,82191
2021-03-23T04:00:00Z,28.840000,29.090000,29.180000,28.800000,51352
2021-03-24T04:00:00Z,29.020000,29.225000,29.441600,29.020000,108488
2021-03-25T04:00:00Z,29.200000,29.540000,29.590000,29.119700,105737
2021-03-26T04:00:00Z,29.560000,29.680000,29.680000,29.440000,32453
2021-03-29T04:00:00Z,29.590000,29.930000,30.070000,29.590000,84973
2021-03-30T04:00:00Z,29.890000,29.700000,29.890000,29.560000,69016
2021-03-31T04:00:00Z,29.790000,29.810000,29.820000,29.639800,86965
2021-04-01T04:00:00Z,29.730000,29.810000,29.830000,29.520000,303662
2021-04-05T04:00:00Z,29.850000,30.090000,30.280000,29.850000,43820
2021-04-06T04:00:00Z,30.010000,30.180000,30.185000,29.870000,69053
2021-04-07T04:00:00Z,30.200000,30.170000,30.260500,30.052100,25195
2021-04-08T04:00:00Z,30.220000,30.090000,30.220000,30.057700,23796
2021-04-09T04:00:00Z,30.130000,30.070600,30.150000,30.000600,36338
2021-04-12T04:00:00Z,30.090000,30.140000,30.329000,30.090100,14485
2021-04-13T04:00:00Z,30.040000,30.380000,30.432000,29.890000,51837
2021-04-14T04:00:00Z,30.340000,30.520000,30.520000,30.320000,23541
2021-04-15T04:00:00Z,30.550000,30.835000,30.835000,30.517000,37495
