ticker,buyid,sell_lim_id,lim_price
TSLA,9390b524-d52d-4e8c-9d31-33944f7e2db3,631969be-7b71-4b65-8865-1955afd67085,750.000000
A,a34055d0-fef7-4a6a-aae4-3b06217c9cf8,5cc11a16-9edf-4277-b071-aa6be418d40e,130.000000
B,d64e7ad9-9caa-4896-b6ac-6d318778049f,1076bf2c-cbc6-417c-8b96-238ab68fa131,40.500000
