ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
PPHOF,2021-03-05T01:20:00.000Z,TAS,,,,EST,-18000000,EQUITY
MKKGY,2021-03-04T06:34:00.000Z,TAS,,,,EST,-18000000,EQUITY
MKGAF,2021-03-04T06:34:00.000Z,TAS,1.58,1.57,-0.38,EST,-18000000,EQUITY
AUTL,2021-03-04T07:00:00.000Z,TAS,-0.77,-0.83,-8.36,EST,-18000000,EQUITY
ATC,2021-03-04T08:00:00.000Z,TAS,0.05,-0.12,-340,EST,-18000000,EQUITY
EKIVF,2021-03-04T11:50:00.000Z,TAS,,,,EST,-18000000,EQUITY
SAMG,2021-03-04T16:01:00.000Z,TAS,0.37,0.31,-15.07,EST,-18000000,EQUITY
AMYT,2021-03-04T07:08:00.000Z,TAS,-0.23,-0.55,-142.29,EST,-18000000,EQUITY
ANIK,2021-03-04T16:05:00.000Z,TAS,0.14,-1.1,-885.71,EST,-18000000,EQUITY
ACR,2021-03-04T16:10:00.000Z,TAS,0.23,0.28,24.44,EST,-18000000,EQUITY
YPF,2021-03-04T17:26:00.000Z,TAS,-0.54,-0.69,-28.01,EST,-18000000,EQUITY
AHCO,2021-03-04T06:30:00.000Z,TAS,0.17,-0.47,-383.13,EST,-18000000,EQUITY
AQN,2021-03-04T18:53:00.000Z,TAS,0.22,0.21,-4.98,EST,-18000000,EQUITY
HOLI,2021-03-04T17:00:00.000Z,TAS,0.49,0.53,8.16,EST,-18000000,EQUITY
ATRBF,2021-03-04T12:37:00.000Z,TAS,,,,UTC,0,EQUITY
FCRD,2021-03-04T16:35:00.000Z,TAS,0.1,0.11,6.8,EST,-18000000,EQUITY
AZUL,2021-03-04T07:49:00.000Z,TAS,-1.03,-0.28,73.31,EST,-18000000,EQUITY
BZWHF,2021-03-04T18:11:00.000Z,TAS,0.06,0.03,-52.38,UTC,0,EQUITY
ACOR,2021-03-04T16:01:00.000Z,TAS,-1.48,-2.5,-68.92,EST,-18000000,EQUITY
ATEC,2021-03-04T16:05:00.000Z,TAS,-0.21,-0.35,-64.32,EST,-18000000,EQUITY
AT,2021-03-04T17:35:00.000Z,TAS,0.05,0.39,766.67,UTC,0,EQUITY
PADEF,2021-03-04T09:06:00.000Z,TAS,0,0,0,EST,-18000000,EQUITY
ABUS,2021-03-04T07:30:00.000Z,TAS,-0.22,-0.23,-4.07,EST,-18000000,EQUITY
AE,2021-03-04T16:06:00.000Z,TAS,0.67,1.37,104.48,EST,-18000000,EQUITY
AJX,2021-03-04T16:05:00.000Z,TAS,0.23,0.41,79.82,EST,-18000000,EQUITY
OTPBF,2021-03-05T00:30:00.000Z,TAS,,307,,EST,-18000000,EQUITY
BALY,2021-03-04T07:01:00.000Z,TAS,-0.08,0.52,766.67,EST,-18000000,EQUITY
BRBOF,2021-03-04T07:15:00.000Z,TAS,0.15,0.2,33.33,EST,-18000000,EQUITY
BJ,2021-03-04T06:45:00.000Z,TAS,0.67,0.7,4.17,EST,-18000000,EQUITY
BDIMF,2021-03-04T18:30:00.000Z,TAS,-0.03,-0.04,-48.15,EST,-18000000,EQUITY
SWBI,2021-03-04T16:03:00.000Z,TAS,0.77,1.12,46.41,EST,-18000000,EQUITY
SYN,2021-03-04T16:17:00.000Z,TAS,-0.08,-0.14,-75,EST,-18000000,EQUITY
NX,2021-03-04T16:15:00.000Z,TAS,0.06,0.27,321.88,EST,-18000000,EQUITY
CBIO,2021-03-04T08:00:00.000Z,TAS,-0.86,-0.86,0.35,EST,-18000000,EQUITY
BURL,2021-03-04T06:45:00.000Z,TAS,2.12,2.44,14.88,EST,-18000000,EQUITY
NGM,2021-03-04T16:05:00.000Z,TAS,-0.47,-0.4,15.07,EST,-18000000,EQUITY
AVGO,2021-03-04T16:19:00.000Z,TAS,6.56,6.61,0.75,EST,-18000000,EQUITY
BOIVF,2021-03-04T11:49:00.000Z,TAS,,,,EST,-18000000,EQUITY
INMB,2021-03-04T16:18:00.000Z,TAS,-0.31,-0.26,15.58,EST,-18000000,EQUITY
BBTVF,2021-03-04T17:01:00.000Z,TAS,-0.13,-0.06,55.56,EST,-18000000,EQUITY
