ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
MKGAF,2020-07-15T08:32:00.000Z,TAS,1.4,1.3,-6.94,EDT,-14400000,EQUITY
MICLF,2020-07-16T02:10:00.000Z,TAS,0.63,2.18,246.03,EDT,-14400000,EQUITY
EZYMF,2020-07-16T02:30:00.000Z,TAS,0,-0.08,,EDT,-14400000,EQUITY
MKKGY,2020-07-15T08:32:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CLVSF,2020-07-16T02:25:00.000Z,TAS,0.74,1.14,55.1,EDT,-14400000,EQUITY
BRRDF,2020-07-16T01:00:00.000Z,TAS,1.27,1.01,-20.47,EDT,-14400000,EQUITY
AKRYY,2020-07-16T01:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BIOVF,2020-07-16T02:05:00.000Z,TAS,1.69,0.95,-43.79,EDT,-14400000,EQUITY
GNGBF,2020-07-16T02:00:00.000Z,TAS,1.83,3.07,67.48,EDT,-14400000,EQUITY
EQBBF,2020-07-16T02:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ENEKF,2020-07-16T01:20:00.000Z,TAS,1.12,2.18,94.64,EDT,-14400000,EQUITY
CZMWY,2020-07-15T09:06:00.000Z,TAS,,0.06,,EDT,-14400000,EQUITY
TMSNY,2020-07-15T12:02:00.000Z,TAS,0.64,0.7,10.24,EDT,-14400000,EQUITY
HUSQF,2020-07-16T01:30:00.000Z,TAS,2.14,2.74,28.04,EDT,-14400000,EQUITY
CAMRF,2020-07-16T01:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ATLKF,2020-07-16T02:57:00.000Z,TAS,2.28,2.82,23.9,EDT,-14400000,EQUITY
DTCGF,2020-07-16T02:00:00.000Z,TAS,-0.13,0.42,430.71,EDT,-14400000,EQUITY
ORXOF,2020-07-16T02:00:00.000Z,TAS,0.47,-0.94,-302.15,EDT,-14400000,EQUITY
ADEVF,2020-07-16T01:00:00.000Z,TAS,0.01,0,-100,EDT,-14400000,EQUITY
