ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
STAF,2018-11-13T16:44:00.000Z,TAS,-0.06,-0.43,-616.67,EST,-18000000,EQUITY
INNT,2018-11-13T17:26:00.000Z,TAS,-0.21,-0.03,85.71,UTC,0,EQUITY
NMTR,2018-11-13T17:26:00.000Z,TAS,-0.21,-0.03,85.71,EST,-18000000,EQUITY
FGWLF,2018-11-14T02:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
INDHF,2018-11-14T01:30:00.000Z,TAS,0.98,0.93,-5.1,EST,-18000000,EQUITY
MKGAF,2018-11-14T01:07:00.000Z,TAS,1.25,1.32,5.85,EST,-18000000,EQUITY
LIFE,2018-11-13T16:14:00.000Z,TAS,-4.35,-3.36,22.78,EST,-18000000,EQUITY
LAC,2018-11-13T22:50:00.000Z,TAS,-0.06,-0.08,-33.33,EST,-18000000,EQUITY
LDHOF,2018-11-13T11:18:00.000Z,TAS,,,,UTC,0,EQUITY
APRN,2018-11-13T16:16:00.000Z,TAS,-3.22,-2.7,16.07,EST,-18000000,EQUITY
APTTF,2018-11-13T11:07:00.000Z,TAS,,,,EST,-18000000,EQUITY
ABDDF,2018-11-14T02:21:00.000Z,TAS,,,,EST,-18000000,EQUITY
AVAL,2018-11-14T03:55:00.000Z,TAS,0.17,0.24,41.18,EST,-18000000,EQUITY
AMRS,2018-11-13T16:12:00.000Z,TAS,-0.16,-1.13,-584.85,EST,-18000000,EQUITY
ARL,2018-11-13T17:51:00.000Z,TAS,,,,EST,-18000000,EQUITY
AZRE,2018-11-13T16:30:00.000Z,TAS,-0.12,-0.16,-35.59,EST,-18000000,EQUITY
ADPPF,2018-11-14T01:00:00.000Z,TAS,0.35,0.29,-17.43,EST,-18000000,EQUITY
AERO,2018-11-13T10:04:00.000Z,TAS,,,,UTC,0,EQUITY
AIRTP,2018-11-13T17:25:00.000Z,TAS,,,,EST,-18000000,EQUITY
AXU,2018-11-13T18:47:00.000Z,TAS,-0.03,-0.01,66.67,EST,-18000000,EQUITY
BWLA,2018-11-13T20:28:00.000Z,TAS,,,,UTC,0,EQUITY
ATXS,2018-11-13T08:05:00.000Z,TAS,-1.35,-0.8,40.61,EST,-18000000,EQUITY
APTX,2018-11-13T07:27:00.000Z,TAS,-1.01,-0.43,57.43,EST,-18000000,EQUITY
ACET,2018-11-13T08:00:00.000Z,TAS,-3.53,-2.1,40.59,EST,-18000000,EQUITY
GNAL,2018-11-13T08:22:00.000Z,TAS,,,,EST,-18000000,EQUITY
PBATF,2018-11-13T22:01:00.000Z,TAS,140.49,129,-8.18,EST,-18000000,EQUITY
VSTKF,2018-11-14T02:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
SLCJF,2018-11-13T16:07:00.000Z,TAS,0.06,0.19,245.45,EST,-18000000,EQUITY
SAMZF,2018-11-13T10:35:00.000Z,TAS,,,,EST,-18000000,EQUITY
AOHLF,2018-11-13T06:49:00.000Z,TAS,,,,EST,-18000000,EQUITY
AYYLF,2018-11-13T19:01:00.000Z,TAS,12.82,11.69,-8.82,EST,-18000000,EQUITY
APLS,2018-11-13T08:01:00.000Z,TAS,-0.69,-0.64,6.98,EST,-18000000,EQUITY
AGESF,2018-11-14T01:30:00.000Z,TAS,0.99,1.09,10.66,EST,-18000000,EQUITY
HOLI,2018-11-13T17:00:00.000Z,TAS,0.47,0.46,-1.08,EST,-18000000,EQUITY
STSGF,2018-11-14T03:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
RWNFF,2018-11-14T01:34:00.000Z,TAS,,-0.07,,EST,-18000000,EQUITY
MDRDF,2018-11-14T01:06:00.000Z,TAS,1.66,1.6,-3.5,UTC,0,EQUITY
AMTBB,2018-11-13T08:08:00.000Z,TAS,,,,UTC,0,EQUITY
AMKBY,2018-11-14T02:03:00.000Z,TAS,9.73,9,-7.48,EST,-18000000,EQUITY
ALYA,2018-11-14T04:08:00.000Z,TAS,,,,EST,-18000000,EQUITY
ATOS,2018-11-13T16:20:00.000Z,TAS,-0.65,-0.64,1.54,EST,-18000000,EQUITY
AMKBF,2018-11-14T02:03:00.000Z,TAS,9.73,9,-7.48,EST,-18000000,EQUITY
ATADF,2018-11-13T14:18:00.000Z,TAS,0,-0.01,-100,EST,-18000000,EQUITY
