ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
MWK,'Aterian, Inc.',2019-06-14T16:05:00.000Z,TAS,,,,UTC,0,EQUITY
ATER,'Aterian, Inc.',2019-06-14T16:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SVBL,'Silver Bull Resources, Inc.',2019-06-14T08:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SVBLD,'Silver Bull Resources, Inc.',2019-06-14T08:30:00.000Z,TAS,,,,UTC,0,EQUITY
PBSV,'Pharma-Bio Serv, Inc.',2019-06-14T12:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
VIRC,Virco Mfg. Corporation,2019-06-14T15:37:00.000Z,TAS,-0.2,-0.2,0,EDT,-14400000,EQUITY
EICAF,Energica Motor Company S.p.A.,2019-06-14T13:29:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FRHC,Freedom Holding Corp.,2019-06-14T16:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SHIPW,Seanergy Maritime Holdings Corp.,2019-06-14T17:18:00.000Z,TAS,-63.28,-51.68,18.33,EDT,-14400000,EQUITY
COE,China Online Education Group,2019-06-14T14:58:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IGC-WT,'India Globalization Capital, Inc.',2019-06-14T17:20:00.000Z,TAS,,,,UTC,0,EQUITY
IGC,'India Globalization Capital, Inc.',2019-06-14T17:20:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SHIP,Seanergy Maritime Holdings Corp.,2019-06-14T17:18:00.000Z,TAS,-63.28,-51.68,18.33,EDT,-14400000,EQUITY
RYES,Rise Gold Corp.,2019-06-14T16:27:00.000Z,TAS,-0.09,0,100,EDT,-14400000,EQUITY
CMCM,Cheetah Mobile Inc.,2019-06-14T07:59:00.000Z,TAS,0.41,0.17,-58.84,EDT,-14400000,EQUITY
CRWD,'CrowdStrike Holdings, Inc.',2019-06-14T17:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DCTH,'Delcath Systems, Inc.',2019-06-14T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NATH,'Nathan's Famous, Inc.',2019-06-14T06:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FVRR,Fiverr International Ltd.,2019-06-14T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PYXSQ,'Old Holdco, Inc.',2019-06-14T16:30:00.000Z,TAS,,,,UTC,0,EQUITY
MMMB,'MamaMancini's Holdings, Inc.',2019-06-14T08:30:00.000Z,TAS,0.01,0.01,0,EDT,-14400000,EQUITY
PTOTF,Patriot One Technologies Inc.,2019-06-14T08:52:00.000Z,TAS,-0.01,-0.03,-200,EDT,-14400000,EQUITY
ONCS,OncoSec Medical Incorporated,2019-06-14T16:33:00.000Z,TAS,-1.36,-1.03,24.26,EDT,-14400000,EQUITY
IAA,'IAA, Inc.',2019-06-14T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PYX,'Pyxus International, Inc.',2019-06-14T16:30:00.000Z,TAS,,,,UTC,0,EQUITY
NMRD,Nemaura Medical Inc.,2019-06-14T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
