ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
SAIC,Science Applications International Corporation,2020-12-03T16:15:00.000Z,TAS,1.54,1.62,5.54,EST,-18000000,EQUITY
NFIN,Netfin Acquisition Corp.,2020-12-03T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
AFYA,Afya Limited,2020-12-03T16:01:00.000Z,TAS,1.19,1.07,-10.31,EST,-18000000,EQUITY
ALVVF,Altice Europe N.V.,2020-12-03T06:00:00.000Z,TAS,,-0.26,,UTC,0,EQUITY
AZEK,The AZEK Company Inc.,2020-12-03T07:00:00.000Z,TAS,0.24,0.29,21.34,EST,-18000000,EQUITY
ATMFF,Atmofizer Technologies Inc.,2020-12-03T13:23:00.000Z,TAS,,,,EST,-18000000,EQUITY
PTAC,PropTech Acquisition Corporation,2020-12-03T18:24:00.000Z,TAS,,,,UTC,0,EQUITY
BBW,'Build-A-Bear Workshop, Inc.',2020-12-03T06:45:00.000Z,TAS,-0.04,0.11,375,EST,-18000000,EQUITY
ALLVF,Altice Europe N.V.,2020-12-03T06:00:00.000Z,TAS,-0.14,-0.26,-85.71,UTC,0,EQUITY
REX,REX American Resources Corporation,2020-12-03T07:00:00.000Z,TAS,0.21,1.44,585.71,EST,-18000000,EQUITY
OLLI,'Ollie's Bargain Outlet Holdings, Inc.',2020-12-03T16:05:00.000Z,TAS,0.58,0.65,12.46,EST,-18000000,EQUITY
TD,The Toronto-Dominion Bank,2020-12-03T06:43:00.000Z,TAS,1.27,1.6,26.08,EST,-18000000,EQUITY
CBRL,'Cracker Barrel Old Country Store, Inc.',2020-12-03T08:00:00.000Z,TAS,0.36,0.69,94.37,EST,-18000000,EQUITY
SWBI,'Smith & Wesson Brands, Inc.',2020-12-03T16:05:00.000Z,TAS,0.63,0.93,46.92,EST,-18000000,EQUITY
ULTA,'Ulta Beauty, Inc.',2020-12-03T16:03:00.000Z,TAS,1.49,1.64,9.99,EST,-18000000,EQUITY
CM,Canadian Imperial Bank of Commerce,2020-12-03T05:54:00.000Z,TAS,2.5,2.79,11.47,EST,-18000000,EQUITY
DCI,'Donaldson Company, Inc.',2020-12-03T07:00:00.000Z,TAS,0.45,0.48,7.87,EST,-18000000,EQUITY
JSFCF,Sistema Public Joint Stock Financial Corporation,2020-12-03T11:07:00.000Z,TAS,7.53,0.28,-96.28,EST,-18000000,EQUITY
DG,Dollar General Corporation,2020-12-03T06:55:00.000Z,TAS,2,2.31,15.38,EST,-18000000,EQUITY
CULP,'Culp, Inc.',2020-12-03T16:15:00.000Z,TAS,0.14,0.19,31.03,EST,-18000000,EQUITY
IDT,IDT Corporation,2020-12-03T16:30:00.000Z,TAS,,0.35,,EST,-18000000,EQUITY
SCWX,SecureWorks Corp.,2020-12-03T07:00:00.000Z,TAS,0.05,0.08,53.85,EST,-18000000,EQUITY
SGML,Sigma Lithium Corporation,2020-12-03T07:00:00.000Z,TAS,-0.01,0,100,EST,-18000000,EQUITY
KNMOF,'Kanamoto Co.,Ltd.',2020-12-04T01:08:00.000Z,TAS,144.23,61.36,-57.46,EST,-18000000,EQUITY
COO,'The Cooper Companies, Inc.',2020-12-03T16:15:00.000Z,TAS,3.09,3.16,2.13,EST,-18000000,EQUITY
SGMLF,Sigma Lithium Corporation,2020-12-03T07:00:00.000Z,TAS,-0.01,0,100,UTC,0,EQUITY
MIK,'The Michaels Companies, Inc.',2020-12-03T07:15:00.000Z,TAS,0.59,0.86,45.52,UTC,0,EQUITY
KR,The Kroger Co.,2020-12-03T08:00:00.000Z,TAS,0.67,0.71,6.45,EST,-18000000,EQUITY
CLDR,'Cloudera, Inc.',2020-12-03T16:09:00.000Z,TAS,0.09,0.15,64.84,UTC,0,EQUITY
DOCU,'DocuSign, Inc.',2020-12-03T16:05:00.000Z,TAS,0.13,0.22,65.41,EST,-18000000,EQUITY
MOPLF,Molinos Rio de la Plata S.A.,2020-12-03T13:22:00.000Z,TAS,-0.86,5.09,691.86,EST,-18000000,EQUITY
DLTH,Duluth Holdings Inc.,2020-12-03T08:30:00.000Z,TAS,-0.02,0.03,250,EST,-18000000,EQUITY
DOMO,'Domo, Inc.',2020-12-03T16:05:00.000Z,TAS,-0.44,-0.4,8.26,EST,-18000000,EQUITY
EXPR,'Express, Inc.',2020-12-03T06:45:00.000Z,TAS,-0.51,-1.17,-130.77,EST,-18000000,EQUITY
LE,'Lands' End, Inc.',2020-12-03T06:45:00.000Z,TAS,0.04,0.22,450,EST,-18000000,EQUITY
URG,Ur-Energy Inc.,2020-12-03T09:26:00.000Z,TAS,-0.02,-0.02,0,EST,-18000000,EQUITY
EH,EHang Holdings Limited,2020-12-03T06:00:00.000Z,TAS,0,0.02,,EST,-18000000,EQUITY
MEI,'Methode Electronics, Inc.',2020-12-03T07:00:00.000Z,TAS,0.8,1.03,28.75,EST,-18000000,EQUITY
GMS,GMS Inc.,2020-12-03T06:00:00.000Z,TAS,0.91,0.93,2.31,EST,-18000000,EQUITY
RKIGF,Reko International Group Inc.,2020-12-03T14:48:00.000Z,TAS,,,,EST,-18000000,EQUITY
