ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ABMBF,Abcourt Mines Inc.,2019-03-01T17:12:00.000Z,TAS,,,,EST,-18000000,EQUITY
ASTE,'Astec Industries, Inc.',2019-03-01T07:00:00.000Z,TAS,0.57,0.61,7.02,EST,-18000000,EQUITY
LSAND,Los Andes Copper Ltd.,2019-03-01T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
SNMMF,Sunrise Communications Group AG,2019-03-01T16:19:00.000Z,TAS,0.27,0.77,184.07,UTC,0,EQUITY
ABAHF,'Abacus Health Products, Inc.',2019-03-01T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
ALTM,Altus Midstream Company,2019-03-01T17:06:00.000Z,TAS,-0.07,0,100,UTC,0,EQUITY
PBCRF,PT Bank Central Asia Tbk,2019-03-01T06:44:00.000Z,TAS,282.1,298,5.64,EST,-18000000,EQUITY
LSANF,Los Andes Copper Ltd.,2019-03-01T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
PTKHF,Petkim Petrokimya Holding A.S.,2019-03-01T13:54:00.000Z,TAS,,,,UTC,0,EQUITY
UBFO,United Security Bancshares,2019-03-01T17:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
HVBT,HIVE Blockchain Technologies Ltd.,2019-03-01T21:33:00.000Z,TAS,-0.03,-0.07,-133.33,UTC,0,EQUITY
HIVE,HIVE Blockchain Technologies Ltd.,2019-03-01T21:33:00.000Z,TAS,-0.03,-0.07,-133.33,EST,-18000000,EQUITY
SESN,'Sesen Bio, Inc.',2019-03-01T17:54:00.000Z,TAS,-0.08,-0.09,-12.5,EST,-18000000,EQUITY
BBRRF,Blueberries Medical Corp.,2019-03-01T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
EVFM,'Evofem Biosciences, Inc.',2019-03-01T06:00:00.000Z,TAS,-0.43,-0.58,-33.64,EST,-18000000,EQUITY
HVBTF,HIVE Blockchain Technologies Ltd.,2019-03-01T21:33:00.000Z,TAS,-0.03,-0.07,-133.33,UTC,0,EQUITY
KLDO,'Kaleido Biosciences, Inc.',2019-03-01T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
BRLXF,Boralex Inc.,2019-03-01T07:00:00.000Z,TAS,0.26,0.06,-76.92,EST,-18000000,EQUITY
TSAT,Telesat Corporation,2019-03-01T07:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
QEXGF,QuestEx Gold & Copper Ltd.,2019-03-01T18:43:00.000Z,TAS,,,,EST,-18000000,EQUITY
GBLEF,Global Energy Metals Corporation,2019-03-01T17:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
OILCF,Permex Petroleum Corporation,2019-03-01T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
SSP,The E.W. Scripps Company,2019-03-01T07:30:00.000Z,TAS,0.65,0.44,-32.1,EST,-18000000,EQUITY
OMER,Omeros Corporation,2019-03-01T07:32:00.000Z,TAS,-0.81,-0.48,40.74,EST,-18000000,EQUITY
CLNY-PJ,'Colony Capital, Inc.',2019-03-01T07:00:00.000Z,TAS,-0.12,-0.82,-556,UTC,0,EQUITY
NHHHF,FuelPositive Corporation,2019-03-01T07:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
TTSRF,Tartisan Nickel Corp.,2019-03-01T17:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
PZRIF,Pizza Pizza Royalty Corp.,2019-03-01T16:34:00.000Z,TAS,0.23,0.23,-1.3,EST,-18000000,EQUITY
SNECQ,Sanchez Energy Corporation,2019-03-01T06:30:00.000Z,TAS,-0.27,-0.35,-29.63,UTC,0,EQUITY
VRS,Verso Corporation,2019-03-01T14:30:00.000Z,TAS,1.71,2.44,42.94,EST,-18000000,EQUITY
TRC,Tejon Ranch Co.,2019-03-01T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
GMPXD,RF Capital Group Inc.,2019-03-01T17:01:00.000Z,TAS,,,,EST,-18000000,EQUITY
ICD,'Independence Contract Drilling, Inc.',2019-03-01T06:30:00.000Z,TAS,-0.39,0.2,151.28,EST,-18000000,EQUITY
RKCLF,Rockcliff Metals Corporation,2019-03-01T17:32:00.000Z,TAS,,,,EST,-18000000,EQUITY
NWN,Northwest Natural Holding Company,2019-03-01T06:03:00.000Z,TAS,1.2,1.24,3.68,EST,-18000000,EQUITY
CLASF,QuestEx Gold & Copper Ltd.,2019-03-01T18:43:00.000Z,TAS,,,,UTC,0,EQUITY
CLNY,'Colony Capital, Inc.',2019-03-01T07:00:00.000Z,TAS,-0.12,-0.82,-556,UTC,0,EQUITY
CORE,'Core-Mark Holding Company, Inc.',2019-03-01T08:05:00.000Z,TAS,0.31,0.34,10.39,UTC,0,EQUITY
CWSRF,Chartwell Retirement Residences,2019-03-01T17:34:00.000Z,TAS,,,,EST,-18000000,EQUITY
