ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
HBPCF,Helix BioPharma Corp.,2019-06-11T16:08:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PLAY,'Dave & Buster's Entertainment, Inc.',2019-06-11T16:05:00.000Z,TAS,1.14,1.13,-0.96,EDT,-14400000,EQUITY
HRB,'H&R Block, Inc.',2019-06-11T08:05:00.000Z,TAS,4.14,4.32,4.25,EDT,-14400000,EQUITY
BPMX,BioPharmX Corporation,2019-06-11T16:10:00.000Z,TAS,-3.12,-4.56,-46.15,UTC,0,EQUITY
MECVF,mdf commerce inc.,2019-06-11T08:00:00.000Z,TAS,0.2,0.06,-70,EDT,-14400000,EQUITY
CPST,Capstone Green Energy Corporation,2019-06-11T16:16:00.000Z,TAS,-0.47,-0.6,-28.48,UTC,0,EQUITY
CGRN,Capstone Green Energy Corporation,2019-06-11T16:16:00.000Z,TAS,-0.47,-0.6,-28.48,EDT,-14400000,EQUITY
CHS,'Chico's FAS, Inc.',2019-06-11T07:15:00.000Z,TAS,0.03,0.05,56.25,EDT,-14400000,EQUITY
CELTF,Centamin plc,2019-06-12T02:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IDEXF,'Industria de Diseño Textil, S.A.',2019-06-12T02:06:00.000Z,TAS,0.23,0.24,2.56,EDT,-14400000,EQUITY
IDEXY,'Industria de Diseño Textil, S.A.',2019-06-12T02:06:00.000Z,TAS,0.23,0.24,2.56,EDT,-14400000,EQUITY
ENQQF,Enteq Upstream Plc,2019-06-12T02:01:00.000Z,TAS,,,,UTC,0,EQUITY
JFIN,Jiayin Group Inc.,2019-06-11T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AXGT,'Sio Gene Therapies, Inc.',2019-06-11T16:05:00.000Z,TAS,-1.7,-0.45,73.5,UTC,0,EQUITY
SIOX,Sio Gene Therapies Inc.,2019-06-11T16:05:00.000Z,TAS,-1.7,-0.45,73.5,EDT,-14400000,EQUITY
TMDX,'TransMedics Group, Inc.',2019-06-11T17:05:00.000Z,TAS,-0.98,-4.86,-395.92,EDT,-14400000,EQUITY
HDS,'HD Supply Holdings, Inc.',2019-06-11T06:00:00.000Z,TAS,0.81,0.84,3.19,UTC,0,EQUITY
JW-A,'John Wiley & Sons, Inc.',2019-06-11T08:00:00.000Z,TAS,1.03,1.05,2.24,EDT,-14400000,EQUITY
TMBR,'Timber Pharmaceuticals, Inc.',2019-06-11T16:10:00.000Z,TAS,-3.12,-4.56,-46.15,EDT,-14400000,EQUITY
JWA,'John Wiley & Sons, Inc.',2019-06-11T08:00:00.000Z,TAS,1.03,1.05,2.24,UTC,0,EQUITY
WLY,'John Wiley & Sons, Inc.',2019-06-11T08:00:00.000Z,TAS,1.03,1.05,2.24,EDT,-14400000,EQUITY
