ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ALYA,Alithya Group Inc.,2019-06-19T07:31:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MOBXF,Mobotix AG,2019-06-19T09:13:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AMSWA,'American Software, Inc.',2019-06-19T16:07:00.000Z,TAS,0.05,0.06,33.33,EDT,-14400000,EQUITY
SWBIV,'Smith & Wesson Brands, Inc.',2019-06-19T16:07:00.000Z,TAS,0.16,0.26,62.5,UTC,0,EQUITY
SWBI,'Smith & Wesson Brands, Inc.',2019-06-19T16:07:00.000Z,TAS,0.16,0.26,62.5,EDT,-14400000,EQUITY
GNBT,Generex Biotechnology Corporation,2019-06-19T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AOBC,'Smith & Wesson Brands, Inc.',2019-06-19T16:07:00.000Z,TAS,0.16,0.26,62.5,UTC,0,EQUITY
JVA,'Coffee Holding Co., Inc.',2019-06-19T08:21:00.000Z,TAS,0.06,-0.04,-166.67,EDT,-14400000,EQUITY
OCCI,'OFS Credit Company, Inc.',2019-06-19T15:29:00.000Z,TAS,0.54,0.38,-29.63,EDT,-14400000,EQUITY
ORCL,Oracle Corporation,2019-06-19T16:02:00.000Z,TAS,1.07,1.16,8.11,EDT,-14400000,EQUITY
OCCIP,'OFS Credit Company, Inc.',2019-06-19T15:29:00.000Z,TAS,0.54,0.38,-29.63,UTC,0,EQUITY
HNWEF,Hanwei Energy Services Corp.,2019-06-19T19:21:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SCS,Steelcase Inc.,2019-06-19T16:07:00.000Z,TAS,0.18,0.15,-15.73,EDT,-14400000,EQUITY
WGO,'Winnebago Industries, Inc.',2019-06-19T07:00:00.000Z,TAS,0.99,1.14,15.04,EDT,-14400000,EQUITY
STOK,'Stoke Therapeutics, Inc.',2019-06-19T17:10:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TAOIF,TAG Oil Ltd.,2019-06-19T08:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
