ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
BGOUF,Bang & Olufsen a/s,2020-04-02T02:40:00.000Z,TAS,,-2.99,,EDT,-14400000,EQUITY
ALVVF,Altice Europe N.V.,2020-04-02T02:00:00.000Z,TAS,,,,UTC,0,EQUITY
ARGTF,Artemis Gold Inc.,2020-04-01T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ARLLF,Argan SA,2020-04-01T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ALLVF,Altice Europe N.V.,2020-04-02T02:00:00.000Z,TAS,-0.21,,,UTC,0,EQUITY
UCASU,"UC Asset, LP",2020-04-01T17:02:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CLGN,CollPlant Biotechnologies Ltd.,2020-04-01T07:00:00.000Z,TAS,-0.25,-0.25,0,EDT,-14400000,EQUITY
MITO,Stealth BioTherapeutics Corp,2020-04-01T07:30:00.000Z,TAS,-0.02,0.02,190.91,EDT,-14400000,EQUITY
CTSDF,Converge Technology Solutions Corp.,2020-04-01T20:59:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ORZCF,Orezone Gold Corporation,2020-04-01T16:09:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PVH,PVH Corp.,2020-04-01T16:15:00.000Z,TAS,1.81,1.88,3.98,EDT,-14400000,EQUITY
HLKHF,HELLA GmbH & Co. KGaA,2020-04-02T03:05:00.000Z,TAS,0.52,0.46,-11.03,EDT,-14400000,EQUITY
CROJF,Marimaca Copper Corp.,2020-04-01T17:37:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SMTTF,Sun Metals Corp.,2020-04-01T17:50:00.000Z,TAS,,,,UTC,0,EQUITY
CJREF,Corus Entertainment Inc.,2020-04-01T06:00:00.000Z,TAS,0.1,0.12,17.65,EDT,-14400000,EQUITY
COTQF,Cotinga Pharmaceuticals Inc.,2020-04-01T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CZGZF,Colt CZ Group SE,2020-04-01T08:14:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RYES,Rise Gold Corp.,2020-04-01T17:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
UNF,UniFirst Corporation,2020-04-01T08:00:00.000Z,TAS,1.65,1.82,10.1,EDT,-14400000,EQUITY
DLMAF,Dollarama Inc.,2020-04-01T07:00:00.000Z,TAS,0.56,0.55,-1.08,EDT,-14400000,EQUITY
GRKZF,Greek Organization of Football Prognostics S.A.,2020-04-01T13:41:00.000Z,TAS,0.21,0.19,-9.52,EDT,-14400000,EQUITY
PTKFF,PT Kalbe Farma Tbk.,2020-04-01T20:00:00.000Z,TAS,15.4,12.62,-18.03,EDT,-14400000,EQUITY
JFIN,Jiayin Group Inc.,2020-04-01T06:00:00.000Z,TAS,0.43,0.44,2.33,EDT,-14400000,EQUITY
GLBS,Globus Maritime Limited,2020-04-01T12:44:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SRTSF,Gr. Sarantis S.A.,2020-04-01T22:21:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LW,"Lamb Weston Holdings, Inc.",2020-04-01T08:30:00.000Z,TAS,0.93,0.77,-16.94,EDT,-14400000,EQUITY
LEMLF,Leaf Mobile Inc.,2020-04-01T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
POAI,Predictive Oncology Inc.,2020-04-01T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
QUTIF,Questor Technology Inc.,2020-04-01T19:05:00.000Z,TAS,0.08,0.04,-51.81,EDT,-14400000,EQUITY
EAGRF,Leaf Mobile Inc.,2020-04-01T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NG,NovaGold Resources Inc.,2020-04-01T17:21:00.000Z,TAS,-0.02,-0.02,0,EDT,-14400000,EQUITY
VISL,"Vislink Technologies, Inc.",2020-04-01T21:57:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LEMLD,Leaf Mobile Inc.,2020-04-01T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
TSKFF,Talisker Resources Ltd.,2020-04-01T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RMGNF,RHI Magnesita N.V.,2020-04-01T05:20:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SENOF,Sensorion SA,2020-04-02T01:35:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TCCHF,Technogym S.p.A.,2020-04-01T16:42:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SRBZF,Stratec SE,2020-04-02T00:55:00.000Z,TAS,0.71,0.83,16.9,EDT,-14400000,EQUITY
CTHCF,,2020-04-01T04:15:00.000Z,TAS,0.32,0.78,147.62,UTC,0,EQUITY
