ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
FLWS,'1-800-FLOWERS.COM, Inc.',2018-11-01T07:15:00.000Z,TAS,-0.29,-0.27,8.47,EDT,-14400000,EQUITY
AMH-PH,American Homes 4 Rent,2018-11-01T17:16:00.000Z,TAS,0.05,0.05,6.38,EDT,-14400000,EQUITY
AMH,American Homes 4 Rent,2018-11-01T17:16:00.000Z,TAS,0.05,0.05,6.38,EDT,-14400000,EQUITY
FTAI,Fortress Transportation and Infrastructure Investors LLC,2018-11-01T16:36:00.000Z,TAS,0.08,0.08,6.67,EDT,-14400000,EQUITY
EBKOF,Erste Group Bank AG,2018-11-02T02:30:00.000Z,TAS,,1.06,,EDT,-14400000,EQUITY
GOL,Gol Linhas Aéreas Inteligentes S.A.,2018-11-01T06:55:00.000Z,TAS,-0.16,-0.59,-271.07,EDT,-14400000,EQUITY
HASI,'Hannon Armstrong Sustainable Infrastructure Capital, Inc.',2018-11-01T16:15:00.000Z,TAS,0.33,0.36,9.42,EDT,-14400000,EQUITY
SEE,Sealed Air Corporation,2018-11-01T07:00:00.000Z,TAS,0.6,0.61,0.99,EDT,-14400000,EQUITY
MT,ArcelorMittal S.A.,2018-11-01T05:02:00.000Z,TAS,1.32,1.1,-16.67,EDT,-14400000,EQUITY
NVO,Novo Nordisk A/S,2018-11-02T02:30:00.000Z,TAS,0.61,0.58,-4.43,EDT,-14400000,EQUITY
Y,Alleghany Corporation,2018-11-01T17:15:00.000Z,TAS,4.18,-1.07,-125.63,EDT,-14400000,EQUITY
GNMX,'Aevi Genomic Medicine, LLC',2018-11-01T07:30:00.000Z,TAS,-0.15,-0.12,21.57,UTC,0,EQUITY
AHKSF,Asahi Kasei Corporation,2018-11-01T23:30:00.000Z,TAS,28.56,30.45,6.61,EDT,-14400000,EQUITY
ARESF,Artis Real Estate Investment Trust,2018-11-02T02:50:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ATOM,Atomera Incorporated,2018-11-01T16:02:00.000Z,TAS,-0.24,-0.28,-16.67,EDT,-14400000,EQUITY
AOSL,Alpha and Omega Semiconductor Limited,2018-11-01T16:05:00.000Z,TAS,0.33,0.36,10.77,EDT,-14400000,EQUITY
AAON,'AAON, Inc.',2018-11-01T11:00:00.000Z,TAS,0.28,0.27,-3.57,EDT,-14400000,EQUITY
ACLS,'Axcelis Technologies, Inc.',2018-11-01T16:01:00.000Z,TAS,0.18,0.26,47.73,EDT,-14400000,EQUITY
APPN,Appian Corporation,2018-11-01T16:16:00.000Z,TAS,-0.17,-0.13,25.71,EDT,-14400000,EQUITY
ARW,'Arrow Electronics, Inc.',2018-11-01T08:00:00.000Z,TAS,2.16,2.18,0.88,EDT,-14400000,EQUITY
PTXAF,PT XL Axiata Tbk,2018-11-01T11:55:00.000Z,TAS,19.69,-6,-130.47,UTC,0,EQUITY
AAVVF,Advantage Energy Ltd.,2018-11-01T22:02:00.000Z,TAS,-0.02,-0.05,-138.1,EDT,-14400000,EQUITY
FLMNY,Fielmann Aktiengesellschaft,2018-11-01T06:07:00.000Z,TAS,0.63,0.64,2.07,EDT,-14400000,EQUITY
YMATF,Azbil Corporation,2018-11-02T02:00:00.000Z,TAS,31.18,29.99,-3.83,EDT,-14400000,EQUITY
GIL,Gildan Activewear Inc.,2018-11-01T07:00:00.000Z,TAS,0.57,0.57,0.18,EDT,-14400000,EQUITY
LOIMF,Loomis AB (publ),2018-11-02T03:27:00.000Z,TAS,5.62,6.06,7.75,EDT,-14400000,EQUITY
GLPI,'Gaming and Leisure Properties, Inc.',2018-11-01T07:01:00.000Z,TAS,0.5,0.48,-3.61,EDT,-14400000,EQUITY
SAMG,Silvercrest Asset Management Group Inc.,2018-11-01T20:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AXNX,'Axonics, Inc.',2018-11-01T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ALCPF,'Alchip Technologies, Limited',2018-11-01T04:31:00.000Z,TAS,1.54,1.51,-2.14,UTC,0,EQUITY
AKAFF,Akatsuki Inc.,2018-11-02T02:01:00.000Z,TAS,,203.11,,EDT,-14400000,EQUITY
ARHVF,Archer Limited,2018-11-02T02:00:00.000Z,TAS,-0.01,0.07,800,EDT,-14400000,EQUITY
CLPBF,Coloplast A/S,2018-11-01T07:31:00.000Z,TAS,5.19,4.89,-5.74,EDT,-14400000,EQUITY
AINC,Ashford Inc.,2018-11-01T18:08:00.000Z,TAS,0.65,0.75,15.38,EDT,-14400000,EQUITY
ADMS,'Adamas Pharmaceuticals, Inc.',2018-11-01T16:15:00.000Z,TAS,-1.34,-1.22,8.96,UTC,0,EQUITY
AMRN,Amarin Corporation plc,2018-11-01T05:00:00.000Z,TAS,-0.1,-0.08,18.37,EDT,-14400000,EQUITY
ARCB,ArcBest Corporation,2018-11-01T16:24:00.000Z,TAS,1.12,1.44,28.92,EDT,-14400000,EQUITY
ALNPF,ANA Holdings Inc.,2018-11-02T02:00:00.000Z,TAS,180.91,172.21,-4.81,EDT,-14400000,EQUITY
ARES-PA,Ares Management Corporation,2018-11-01T06:00:00.000Z,TAS,0.35,0.34,-1.45,UTC,0,EQUITY
ASBRF,'Asahi Group Holdings, Ltd.',2018-11-02T02:00:00.000Z,TAS,122.98,122.52,-0.38,EDT,-14400000,EQUITY
STFC,State Auto Financial Corporation,2018-11-01T06:00:00.000Z,TAS,0.22,0.44,100,UTC,0,EQUITY
EBKDY,Erste Group Bank AG,2018-11-02T02:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
