ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ALRS,Alerus Financial Corporation,2019-09-13T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AKTS,'Akoustis Technologies, Inc.',2019-09-13T16:14:00.000Z,TAS,-0.26,-0.18,30.23,EDT,-14400000,EQUITY
AABVF,Aberdeen International Inc.,2019-09-13T18:03:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AMTY,Amerityre Corporation,2019-09-13T09:33:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PMCBD,'PharmaCyte Biotech, Inc.',2019-09-13T17:17:00.000Z,TAS,,,,UTC,0,EQUITY
PMCB,'PharmaCyte Biotech, Inc.',2019-09-13T17:17:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SVBL,'Silver Bull Resources, Inc.',2019-09-13T16:38:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BUKS,Butler National Corporation,2019-09-13T14:43:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SVBLD,'Silver Bull Resources, Inc.',2019-09-13T16:38:00.000Z,TAS,,,,UTC,0,EQUITY
BIOX,Bioceres Crop Solutions Corp.,2019-09-13T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FONR,FONAR Corporation,2019-09-13T16:35:00.000Z,TAS,,,,EDT,-14400000,EQUITY
OCCI,'OFS Credit Company, Inc.',2019-09-13T17:00:00.000Z,TAS,0.43,0.87,102.33,EDT,-14400000,EQUITY
JVA,'Coffee Holding Co., Inc.',2019-09-13T09:00:00.000Z,TAS,-0.04,0.02,150,EDT,-14400000,EQUITY
VIRC,Virco Mfg. Corporation,2019-09-13T09:30:00.000Z,TAS,0.23,0.38,65.22,EDT,-14400000,EQUITY
CODEF,'Codere, S.A.',2019-09-13T17:04:00.000Z,TAS,,,,EDT,-14400000,EQUITY
OCCIP,'OFS Credit Company, Inc.',2019-09-13T17:00:00.000Z,TAS,0.43,0.87,102.33,UTC,0,EQUITY
NET,'Cloudflare, Inc.',2019-09-13T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EVI,'EVI Industries, Inc.',2019-09-13T16:44:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EFOI,'Energy Focus, Inc.',2019-09-13T08:30:00.000Z,TAS,-0.9,-0.9,0,EDT,-14400000,EQUITY
GEG,'Great Elm Group, Inc.',2019-09-13T06:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GEC,'Great Elm Group, Inc.',2019-09-13T06:00:00.000Z,TAS,,,,UTC,0,EQUITY
DUO,Fangdd Network Group Ltd.,2019-09-13T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GMMNF,GAN Limited,2019-09-13T08:32:00.000Z,TAS,,,,UTC,0,EQUITY
GAN,GAN Limited,2019-09-13T08:32:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SLYQF,Pounce Technologies Inc.,2019-09-13T17:53:00.000Z,TAS,,,,UTC,0,EQUITY
VALU,'Value Line, Inc.',2019-09-13T17:09:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NTRB,Nutriband Inc.,2019-09-13T15:32:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SWTX,'SpringWorks Therapeutics, Inc.',2019-09-13T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
STSA,'Satsuma Pharmaceuticals, Inc.',2019-09-13T17:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
