ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
YI,'111, Inc.',2018-09-13T13:49:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ADFJF,ADF Group Inc.,2018-09-13T07:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
APEX,Apex Global Brands Inc.,2018-09-13T16:01:00.000Z,TAS,-0.09,-0.51,-466.67,UTC,0,EQUITY
ADBE,Adobe Inc.,2018-09-13T16:05:00.000Z,TAS,1.69,1.73,2.31,EDT,-14400000,EQUITY
WSKEF,WISeKey International Holding AG,2018-09-13T13:04:00.000Z,TAS,-0.06,,,EDT,-14400000,EQUITY
BRC,Brady Corporation,2018-09-13T07:15:00.000Z,TAS,0.52,0.57,9.2,EDT,-14400000,EQUITY
PCYG,'Park City Group, Inc.',2018-09-13T16:05:00.000Z,TAS,0.04,0.06,50,EDT,-14400000,EQUITY
LOVE,The Lovesac Company,2018-09-13T07:00:00.000Z,TAS,-0.25,-0.27,-8,EDT,-14400000,EQUITY
VNCE,Vince Holding Corp.,2018-09-13T07:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FONR,FONAR Corporation,2018-09-13T07:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EMLAF,Empire Company Limited,2018-09-13T06:00:00.000Z,TAS,0.42,0.37,-11.27,EDT,-14400000,EQUITY
CSBR,'Champions Oncology, Inc.',2018-09-13T16:05:00.000Z,TAS,0.01,0.05,400,EDT,-14400000,EQUITY
NUPMF,New Pacific Metals Corp.,2018-09-13T17:00:00.000Z,TAS,,-0.01,,UTC,0,EQUITY
JVTSF,Juventus Football Club S.p.A.,2018-09-13T10:52:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SHLDQ,Sears Holdings Corporation,2018-09-13T16:35:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NEWP,New Pacific Metals Corp.,2018-09-13T17:00:00.000Z,TAS,,-0.01,,EDT,-14400000,EQUITY
KR,The Kroger Co.,2018-09-13T07:30:00.000Z,TAS,0.38,0.41,8.47,EDT,-14400000,EQUITY
CODA,'Coda Octopus Group, Inc.',2018-09-13T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DLMAF,Dollarama Inc.,2018-09-13T07:00:00.000Z,TAS,0.44,0.43,-1.38,EDT,-14400000,EQUITY
DTEA,DAVIDsTEA Inc.,2018-09-13T16:30:00.000Z,TAS,-0.18,-0.19,-5.56,EDT,-14400000,EQUITY
EOSGF,EOS imaging SA,2018-09-13T12:00:00.000Z,TAS,,,,UTC,0,EQUITY
EVI,'EVI Industries, Inc.',2018-09-13T17:28:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FEIM,'Frequency Electronics, Inc.',2018-09-13T17:22:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GEG,'Great Elm Group, Inc.',2018-09-13T17:02:00.000Z,TAS,0.31,-0.1,-132.26,EDT,-14400000,EQUITY
GEC,'Great Elm Group, Inc.',2018-09-13T17:02:00.000Z,TAS,0.31,-0.1,-132.26,UTC,0,EQUITY
FREDQ,'Fred's, Inc.',2018-09-13T06:00:00.000Z,TAS,-0.37,-0.56,-51.35,UTC,0,EQUITY
PRWYF,Prodways Group SA,2018-09-14T01:49:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IPHYF,Innate Pharma S.A.,2018-09-14T01:12:00.000Z,TAS,,,,EDT,-14400000,EQUITY
INM,InMed Pharmaceuticals Inc.,2018-09-13T07:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PTN,'Palatin Technologies, Inc.',2018-09-13T07:30:00.000Z,TAS,0,0.06,2100,EDT,-14400000,EQUITY
IMLFF,InMed Pharmaceuticals Inc.,2018-09-13T07:19:00.000Z,TAS,,,,UTC,0,EQUITY
LPTH,'LightPath Technologies, Inc.',2018-09-13T16:00:00.000Z,TAS,0.01,-0.03,-528.57,EDT,-14400000,EQUITY
RLGT,'Radiant Logistics, Inc.',2018-09-13T16:01:00.000Z,TAS,0.06,0.11,83.33,EDT,-14400000,EQUITY
SGMA,'SigmaTron International, Inc.',2018-09-13T15:45:00.000Z,TAS,,,,EDT,-14400000,EQUITY
