ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ZGBEF,2G Energy AG,2019-05-29T02:41:00.000Z,TAS,,,,EDT,-14400000,EQUITY
WUBA,58.com Inc.,2019-05-28T19:00:00.000Z,TAS,0.31,0.43,38.71,UTC,0,EQUITY
PYNKF,'Perimeter Medical Imaging AI, Inc.',2019-05-28T17:41:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LBGUF,L E Lundbergföretagen AB (publ),2019-05-28T06:04:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IVUFF,IVU Traffic Technologies AG,2019-05-28T09:24:00.000Z,TAS,,,,EDT,-14400000,EQUITY
KNBHF,Knorr-Bremse Aktiengesellschaft,2019-05-29T01:56:00.000Z,TAS,,1.13,,EDT,-14400000,EQUITY
LSAND,Los Andes Copper Ltd.,2019-05-28T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
SLOFF,Solstad Offshore ASA,2019-05-28T11:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
KMGLF,Asiamet Resources Limited,2019-05-28T08:04:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ACFFF,Accordia Golf Trust,2019-05-28T06:11:00.000Z,TAS,,,,UTC,0,EQUITY
BAH,Booz Allen Hamilton Holding Corporation,2019-05-28T06:45:00.000Z,TAS,0.63,0.64,2.4,EDT,-14400000,EQUITY
EKTAF,Elekta AB (publ),2019-05-29T01:30:00.000Z,TAS,1.45,1.4,-3.11,EDT,-14400000,EQUITY
AXXTF,Axiata Group Berhad,2019-05-28T06:14:00.000Z,TAS,0.02,0.03,8.7,EDT,-14400000,EQUITY
BFRA,Biofrontera AG,2019-05-29T03:11:00.000Z,TAS,-0.23,-0.14,40.87,UTC,0,EQUITY
BFFTF,Biofrontera AG,2019-05-29T03:11:00.000Z,TAS,-0.1,-0.06,40,EDT,-14400000,EQUITY
XEBEF,Xebec Adsorption Inc.,2019-05-28T08:47:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IMMZF,IMMOFINANZ AG,2019-05-28T12:07:00.000Z,TAS,,,,UTC,0,EQUITY
PLAN,'Anaplan, Inc.',2019-05-28T07:30:00.000Z,TAS,-0.2,-0.16,21.57,EDT,-14400000,EQUITY
BFAGY,Biofrontera AG,2019-05-29T03:11:00.000Z,TAS,-0.23,-0.14,40.87,EDT,-14400000,EQUITY
AANNF,Aroundtown SA,2019-05-29T00:56:00.000Z,TAS,0.1,0.15,50,EDT,-14400000,EQUITY
AMWD,American Woodmark Corporation,2019-05-28T06:30:00.000Z,TAS,1.89,1.87,-0.95,EDT,-14400000,EQUITY
EKTAY,Elekta AB (publ),2019-05-29T01:30:00.000Z,TAS,1.45,1.4,-3.11,EDT,-14400000,EQUITY
NWFFF,'Perimeter Medical Imaging AI, Inc.',2019-05-28T17:41:00.000Z,TAS,,,,UTC,0,EQUITY
LSANF,Los Andes Copper Ltd.,2019-05-28T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PNADF,PETRONAS Dagangan Berhad,2019-05-28T06:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
HLFBF,Hong Leong Financial Group Berhad,2019-05-28T12:30:00.000Z,TAS,,,,UTC,0,EQUITY
BNS,The Bank of Nova Scotia,2019-05-28T06:00:00.000Z,TAS,1.75,1.7,-2.63,EDT,-14400000,EQUITY
BKHPF,Bank Hapoalim B.M.,2019-05-29T03:27:00.000Z,TAS,0.73,0.62,-15.07,EDT,-14400000,EQUITY
SB,'Safe Bulkers, Inc.',2019-05-28T08:00:00.000Z,TAS,0.01,0.03,114.29,EDT,-14400000,EQUITY
CIMDF,CIMB Group Holdings Berhad,2019-05-29T00:52:00.000Z,TAS,0.13,0.13,-3.85,EDT,-14400000,EQUITY
STSBF,South Star Battery Metals Corp.,2019-05-28T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SB-PD,'Safe Bulkers, Inc.',2019-05-28T08:00:00.000Z,TAS,0.01,0.03,114.29,EDT,-14400000,EQUITY
IDGBF,Indigo Books & Music Inc.,2019-05-28T17:01:00.000Z,TAS,0.14,-0.86,-714.29,EDT,-14400000,EQUITY
BORR,Borr Drilling Limited,2019-05-29T03:13:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SMEBF,Sime Darby Berhad,2019-05-29T01:06:00.000Z,TAS,,0.03,,EDT,-14400000,EQUITY
IDYA,'IDEAYA Biosciences, Inc.',2019-05-28T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MCPNF,MMC Corporation Berhad,2019-05-28T06:24:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CWBHF,'Charlotte's Web Holdings, Inc.',2019-05-28T16:11:00.000Z,TAS,0.04,0.02,-50,EDT,-14400000,EQUITY
CVALF,Covalon Technologies Ltd.,2019-05-28T18:29:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GBLEF,Global Energy Metals Corporation,2019-05-28T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ORSUF,Orsu Metals Corporation,2019-05-28T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PRCXF,Green Cross Health Limited,2019-05-28T16:33:00.000Z,TAS,,,,UTC,0,EQUITY
WLFFF,Wolfden Resources Corporation,2019-05-28T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
COSLF,CO2 Solutions Inc.,2019-05-28T19:43:00.000Z,TAS,,,,EDT,-14400000,EQUITY
COGDF,Compass Gold Corporation,2019-05-28T11:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BUSXF,Vicinity Motor Corp.,2019-05-28T08:00:00.000Z,TAS,,,,UTC,0,EQUITY
TCNNF,Trulieve Cannabis Corp.,2019-05-28T17:05:00.000Z,TAS,0.11,0.13,18.18,EDT,-14400000,EQUITY
SAMOF,Sangoma Technologies Corporation,2019-05-28T09:02:00.000Z,TAS,0.01,0.02,100,UTC,0,EQUITY
HEIA,HEICO Corporation,2019-05-28T16:22:00.000Z,TAS,0.49,0.6,22.45,UTC,0,EQUITY
NWVCF,EnWave Corporation,2019-05-28T18:20:00.000Z,TAS,0.01,0,-100,EDT,-14400000,EQUITY
CMCO,Columbus McKinnon Corporation,2019-05-28T16:15:00.000Z,TAS,0.61,0.69,13.49,EDT,-14400000,EQUITY
SMTTF,Sun Metals Corp.,2019-05-28T23:05:00.000Z,TAS,,,,UTC,0,EQUITY
NHVCF,Elevation Gold Mining Corporation,2019-05-28T20:00:00.000Z,TAS,,,,UTC,0,EQUITY
MEC,'Mayville Engineering Company, Inc.',2019-05-28T18:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TCNWF,Trulieve Cannabis Corp.,2019-05-28T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
VEV,Vicinity Motor Corp.,2019-05-28T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BUSXD,Vicinity Motor Corp.,2019-05-28T08:00:00.000Z,TAS,,,,UTC,0,EQUITY
GLDXF,Gold X Mining Corp.,2019-05-28T17:01:00.000Z,TAS,,,,UTC,0,EQUITY
LMGDF,Lumina Gold Corp.,2019-05-28T17:54:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MOHCF,Motor Oil (Hellas) Corinth Refineries S.A.,2019-05-28T11:03:00.000Z,TAS,0.46,0.96,110.53,EDT,-14400000,EQUITY
HEI,HEICO Corporation,2019-05-28T16:22:00.000Z,TAS,0.49,0.6,22.2,EDT,-14400000,EQUITY
