ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
PTXAF,PT XL Axiata Tbk,2019-05-05T22:33:00.000Z,TAS,7.44,5,-32.8,UTC,0,EQUITY
CZMWY,Carl Zeiss Meditec AG,2019-05-06T01:00:00.000Z,TAS,,0.33,,EDT,-14400000,EQUITY
LGYRF,Landis+Gyr Group AG,2019-05-06T01:27:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PCELF,PowerCell Sweden AB (publ),2019-05-06T02:30:00.000Z,TAS,-0.34,-0.35,-2.94,EDT,-14400000,EQUITY
ENLBF,Enlabs AB (publ),2019-05-06T02:05:00.000Z,TAS,0.04,0.04,14.29,UTC,0,EQUITY
CZMWF,Carl Zeiss Meditec AG,2019-05-06T01:00:00.000Z,TAS,,0.33,,EDT,-14400000,EQUITY
SYBJF,Security Bank Corporation,2019-05-06T00:25:00.000Z,TAS,3.76,3.15,-16.13,EDT,-14400000,EQUITY
BNEFF,Bonterra Energy Corp.,2019-05-05T20:00:00.000Z,TAS,-0.19,0.04,121.05,EDT,-14400000,EQUITY
BKFKF,P/F Bakkafrost,2019-05-06T00:13:00.000Z,TAS,5.03,4.07,-19.1,EDT,-14400000,EQUITY
GSHHY,Guangshen Railway Company Limited,2019-05-05T21:57:00.000Z,TAS,,,,UTC,0,EQUITY
GNGYF,Guangshen Railway Company Limited,2019-05-05T21:57:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GSH,Guangshen Railway Company Limited,2019-05-05T21:57:00.000Z,TAS,,,,UTC,0,EQUITY
CHRXF,Chargeurs SA,2019-05-06T01:02:00.000Z,TAS,,,,UTC,0,EQUITY
CMPVF,CompuGroup Medical SE & Co. KGaA,2019-05-06T02:00:00.000Z,TAS,0.45,0.61,36.16,EDT,-14400000,EQUITY
KOS,Kosmos Energy Ltd.,2019-05-06T02:00:00.000Z,TAS,-0.07,-0.06,16.67,EDT,-14400000,EQUITY
GTE,Gran Tierra Energy Inc.,2019-05-05T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GTMEF,"Globe Telecom, Inc.",2019-05-05T20:50:00.000Z,TAS,36.66,50.3,37.2,EDT,-14400000,EQUITY
SPHXF,"SM Prime Holdings, Inc.",2019-05-06T01:08:00.000Z,TAS,0.31,0.31,-0.33,EDT,-14400000,EQUITY
TLTFF,Theralase Technologies Inc.,2019-05-05T09:45:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SIUAF,Stabilus S.A.,2019-05-06T01:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TSYRF,,2019-05-05T21:10:00.000Z,TAS,0.31,0.34,9.32,UTC,0,EQUITY
