ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ASMVF,2019-04-24T19:06:00.000Z,TAS,0.96,0.27,-71.82,EDT,-14400000,EQUITY
ADTTF,2019-04-25T02:00:00.000Z,TAS,36.77,44.25,20.36,EDT,-14400000,EQUITY
AZPN,2019-04-24T16:05:00.000Z,TAS,0.83,0.96,15.52,EDT,-14400000,EQUITY
AIRYY,2019-04-24T10:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ALGT,2019-04-24T16:10:00.000Z,TAS,3.88,3.52,-9.35,EDT,-14400000,EQUITY
AXTA,2019-04-24T06:50:00.000Z,TAS,0.22,0.34,55.25,EDT,-14400000,EQUITY
AXFOY,2019-04-25T01:22:00.000Z,TAS,1.61,1.68,4.61,EDT,-14400000,EQUITY
GJNSF,2019-04-25T01:28:00.000Z,TAS,2.23,2.3,3.28,EDT,-14400000,EQUITY
SWDCF,2019-04-25T02:30:00.000Z,TAS,0.43,0.54,25.58,EDT,-14400000,EQUITY
PFFVF,2019-04-24T19:34:00.000Z,TAS,1.7,1.31,-22.94,EDT,-14400000,EQUITY
WKCMF,2019-04-25T01:15:00.000Z,TAS,0.35,-0.16,-146.38,EDT,-14400000,EQUITY
CS,2019-04-24T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PGEJF,2019-04-25T02:00:00.000Z,TAS,-0.12,-0.2,-69.49,EDT,-14400000,EQUITY
SKFRY,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PLAZF,2019-04-25T02:00:00.000Z,TAS,1.2,0.32,-73.33,EDT,-14400000,EQUITY
IMMVF,2019-04-24T04:33:00.000Z,TAS,,,,EDT,-14400000,EQUITY
WRCDF,2019-04-25T03:05:00.000Z,TAS,0.91,0.79,-13.28,EDT,-14400000,EQUITY
USAP,2019-04-24T06:45:00.000Z,TAS,0.24,0.14,-41.67,EDT,-14400000,EQUITY
TAGOF,2019-04-25T00:55:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AVB,2019-04-24T16:16:00.000Z,TAS,1.15,1.23,6.68,EDT,-14400000,EQUITY
AXFOF,2019-04-25T01:22:00.000Z,TAS,1.61,1.68,4.61,EDT,-14400000,EQUITY
SSAAF,2019-04-25T01:30:00.000Z,TAS,1.23,1.24,1.06,EDT,-14400000,EQUITY
AKO-B,2019-04-24T18:12:00.000Z,TAS,0.4,0.4,0,EDT,-14400000,EQUITY
ASMXF,2019-04-24T12:14:00.000Z,TAS,0.91,1.06,17.13,EDT,-14400000,EQUITY
AXS-PE,2019-04-24T16:15:00.000Z,TAS,1.41,1.24,-11.99,EDT,-14400000,EQUITY
ASRMF,2019-04-24T17:14:00.000Z,TAS,4.61,4.9,6.29,EDT,-14400000,EQUITY
