ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
HCAEF,2021-06-17T11:37:00.000Z,TAS,,,,UTC,0,EQUITY
DOCOF,2021-06-17T07:34:00.000Z,TAS,,,,UTC,0,EQUITY
ADBE,2021-06-17T16:05:00.000Z,TAS,2.81,3.03,7.75,EDT,-14400000,EQUITY
SWBI,2021-06-17T16:05:00.000Z,TAS,1.02,1.71,67.65,EDT,-14400000,EQUITY
FSBC,2021-06-17T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DRUG,2021-06-17T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BMBIF,2021-06-17T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
BLFY,2021-06-17T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TEUM,2021-06-17T16:13:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CNVY,2021-06-17T17:10:00.000Z,TAS,,,,EDT,-14400000,EQUITY
KR,2021-06-17T08:06:00.000Z,TAS,1.01,1.19,17.94,EDT,-14400000,EQUITY
CMC,2021-06-17T06:45:00.000Z,TAS,0.83,1.04,24.85,EDT,-14400000,EQUITY
DLNG,2021-06-17T16:05:00.000Z,TAS,0.19,0.21,10.53,EDT,-14400000,EQUITY
EVTZF,2021-06-17T17:28:00.000Z,TAS,0.19,0.12,-35.83,EDT,-14400000,EQUITY
VERV,2021-06-17T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ISPC,2021-06-17T21:02:00.000Z,TAS,,,,EDT,-14400000,EQUITY
JBL,2021-06-17T07:45:00.000Z,TAS,1.04,1.3,25.12,EDT,-14400000,EQUITY
MANU,2021-06-17T16:04:00.000Z,TAS,1,-13.3,-1430,EDT,-14400000,EQUITY
