ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
QFIN,2020-03-27T07:28:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AMYZF,2020-03-27T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ARAV,2020-03-27T08:00:00.000Z,TAS,-0.51,-0.35,32.04,EDT,-14400000,EQUITY
ANGGF,2020-03-27T09:06:00.000Z,TAS,-0.03,0.01,123.33,EDT,-14400000,EQUITY
ALBKF,2020-03-27T11:57:00.000Z,TAS,0.01,0,-100,EDT,-14400000,EQUITY
CMEIF,2020-03-28T03:14:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AIRI,2020-03-27T16:00:00.000Z,TAS,0.01,-0.03,-400,EDT,-14400000,EQUITY
MDGEF,2020-03-27T22:56:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AZZUF,2020-03-27T16:54:00.000Z,TAS,,,,UTC,0,EQUITY
AUTO,2020-03-27T07:30:00.000Z,TAS,-0.13,-0.24,-88.98,EDT,-14400000,EQUITY
ALT,2020-03-27T07:15:00.000Z,TAS,-0.26,-0.25,3.85,EDT,-14400000,EQUITY
IDCBF,2020-03-27T04:31:00.000Z,TAS,0.17,0.15,-11.76,EDT,-14400000,EQUITY
BBQ,2020-03-27T16:30:00.000Z,TAS,-0.05,-0.08,-60,EDT,-14400000,EQUITY
PALI,2020-03-27T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DARE,2020-03-27T16:28:00.000Z,TAS,-0.18,-0.21,-15.38,EDT,-14400000,EQUITY
GTBP,2020-03-27T16:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TELA,2020-03-27T07:00:00.000Z,TAS,-0.59,-1.22,-105.04,EDT,-14400000,EQUITY
PDSB,2020-03-27T16:15:00.000Z,TAS,-0.92,-0.84,9.19,EDT,-14400000,EQUITY
CASBF,2020-03-27T09:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PTFRF,2020-03-27T22:23:00.000Z,TAS,14.15,9.95,-29.67,UTC,0,EQUITY
SBEV,2020-03-27T16:47:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BITA,2020-03-27T06:42:00.000Z,TAS,1.19,-8.07,-777.58,UTC,0,EQUITY
BALMF,2020-03-27T08:00:00.000Z,TAS,,,,UTC,0,EQUITY
BKFCF,2020-03-27T04:30:00.000Z,TAS,0.23,0.23,2.22,EDT,-14400000,EQUITY
GHIV,2020-03-27T17:01:00.000Z,TAS,,,,UTC,0,EQUITY
LOTZ,2020-03-27T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GRWG,2020-03-27T10:24:00.000Z,TAS,0.03,-0.01,-138.46,EDT,-14400000,EQUITY
AGCCF,2020-03-27T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ZTCOY,2020-03-27T07:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SCWX,2020-03-27T07:00:00.000Z,TAS,-0.01,0.02,433.33,EDT,-14400000,EQUITY
PNCKD,2020-03-27T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SZDEF,2020-03-27T08:45:00.000Z,TAS,,0.1,,EDT,-14400000,EQUITY
CHNVF,2020-03-27T10:53:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CYTR,2020-03-27T07:04:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MIMZF,2020-03-27T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FRMUF,2020-03-27T19:55:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PNCKF,2020-03-27T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
YIHCF,2020-03-27T10:46:00.000Z,TAS,,,,EDT,-14400000,EQUITY
UTSI,2020-03-27T06:00:00.000Z,TAS,-0.03,-0.1,-233.33,EDT,-14400000,EQUITY
ZTCOF,2020-03-27T07:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ENG,2020-03-27T09:16:00.000Z,TAS,,,,EDT,-14400000,EQUITY
UWMC,2020-03-27T17:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GRCAF,2020-03-27T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SDGMF,2020-03-27T06:24:00.000Z,TAS,0.09,0.08,-8.14,EDT,-14400000,EQUITY
COCP,2020-03-27T16:33:00.000Z,TAS,-0.07,-0.05,28.57,EDT,-14400000,EQUITY
CDYCF,2020-03-27T18:08:00.000Z,TAS,,,,UTC,0,EQUITY
GWGH,2020-03-27T17:19:00.000Z,TAS,,4.56,,EDT,-14400000,EQUITY
WTWGF,2020-03-27T05:51:00.000Z,TAS,,,,EDT,-14400000,EQUITY
