ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
XAIR,2019-06-25T16:45:00.000Z,TAS,0.28,-0.49,-276.9,EDT,-14400000,EQUITY
ARTL,2019-06-25T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DYMDF,2019-06-26T02:40:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AVAV,2019-06-25T16:10:00.000Z,TAS,0.26,0.26,-1.14,EDT,-14400000,EQUITY
BNGLF,2019-06-25T19:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BNED,2019-06-25T08:30:00.000Z,TAS,-0.02,-0.97,-4750,EDT,-14400000,EQUITY
MDNAF,2019-06-25T08:00:00.000Z,TAS,-0.11,-0.03,72.73,UTC,0,EQUITY
FDX,2019-06-25T16:05:00.000Z,TAS,4.85,5.01,3.3,EDT,-14400000,EQUITY
MDNA,2019-06-25T08:00:00.000Z,TAS,-0.11,-0.03,72.73,EDT,-14400000,EQUITY
NWHAF,2019-06-25T18:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SNX,2019-06-25T16:15:00.000Z,TAS,2.71,2.86,5.65,EDT,-14400000,EQUITY
RCGCF,2019-06-25T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LEN-B,2019-06-25T06:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LEN,2019-06-25T06:00:00.000Z,TAS,1.14,1.3,14.34,EDT,-14400000,EQUITY
FDS,2019-06-25T07:01:00.000Z,TAS,2.37,2.62,10.46,EDT,-14400000,EQUITY
XAUMF,2019-06-25T07:30:00.000Z,TAS,-0.01,-0.03,-200,EDT,-14400000,EQUITY
VTGN,2019-06-25T16:19:00.000Z,TAS,-0.12,-0.17,-41.67,EDT,-14400000,EQUITY
MU,2019-06-25T16:05:00.000Z,TAS,0.79,1.05,33.08,EDT,-14400000,EQUITY
LCHTF,2019-06-25T18:17:00.000Z,TAS,,0.59,,EDT,-14400000,EQUITY
