ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
AZRE,Azure Power Global Limited,2019-06-10T16:30:00.000Z,TAS,0.04,0.08,90.48,EDT,-14400000,EQUITY
AGX,'Argan, Inc.',2019-06-10T16:15:00.000Z,TAS,-0.12,-1.91,-1491.67,EDT,-14400000,EQUITY
ADXS,'Advaxis, Inc.',2019-06-10T16:03:00.000Z,TAS,-1.2,-1.32,-10,EDT,-14400000,EQUITY
BSOLF,Blue Solutions Societe Anonyme,2019-06-10T11:46:00.000Z,TAS,,,,UTC,0,EQUITY
ASNA,'Ascena Retail Group, Inc.',2019-06-10T16:06:00.000Z,TAS,-7.46,-5.2,30.26,UTC,0,EQUITY
CANF,Can-Fite BioPharma Ltd.,2019-06-10T17:12:00.000Z,TAS,-0.9,-1.29,-43.33,EDT,-14400000,EQUITY
ENZ,'Enzo Biochem, Inc.',2019-06-10T16:17:00.000Z,TAS,-0.15,0.47,413.33,EDT,-14400000,EQUITY
ASNAQ,'Mahwah Bergen Retail Group, Inc.',2019-06-10T16:06:00.000Z,TAS,-7.46,-5.2,30.26,UTC,0,EQUITY
LOVE,The Lovesac Company,2019-06-10T16:01:00.000Z,TAS,-0.56,-0.67,-18.58,EDT,-14400000,EQUITY
BBCP,'Concrete Pumping Holdings, Inc.',2019-06-10T08:30:00.000Z,TAS,0.04,-0.35,-975,EDT,-14400000,EQUITY
CTOS,'Custom Truck One Source, Inc.',2019-06-10T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MVC,'MVC Capital, Inc.',2019-06-10T17:13:00.000Z,TAS,0.09,0.24,166.67,UTC,0,EQUITY
LMNR,Limoneira Company,2019-06-10T16:01:00.000Z,TAS,-0.11,-0.09,18.18,EDT,-14400000,EQUITY
UEC,Uranium Energy Corp.,2019-06-10T06:10:00.000Z,TAS,-0.02,-0.03,-50,EDT,-14400000,EQUITY
GKTRF,'GEK TERNA Holdings, Real Estate, Construction S.A.',2019-06-10T06:17:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NSCO,'Custom Truck One Source, Inc.',2019-06-10T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
CASY,'Casey's General Stores, Inc.',2019-06-10T16:15:00.000Z,TAS,0.46,0.68,46.55,EDT,-14400000,EQUITY
FGPR,'Ferrellgas Partners, L.P.',2019-06-10T07:00:00.000Z,TAS,0.2,0.21,3.45,EDT,-14400000,EQUITY
FGPRQ,'Ferrellgas Partners, L.P.',2019-06-10T07:00:00.000Z,TAS,0.2,0.21,3.45,UTC,0,EQUITY
FRG,'Franchise Group, Inc.',2019-06-10T07:16:00.000Z,TAS,2.36,,,EDT,-14400000,EQUITY
FRGAP,'Franchise Group, Inc.',2019-06-10T07:16:00.000Z,TAS,2.36,,,EDT,-14400000,EQUITY
MTPTF,Motorpoint Group plc,2019-06-11T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
WORK,'Slack Technologies, Inc.',2019-06-10T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
SHLOQ,'Shiloh Industries, Inc.',2019-06-10T07:00:00.000Z,TAS,0.01,0.24,2300,UTC,0,EQUITY
THO,'Thor Industries, Inc.',2019-06-10T06:30:00.000Z,TAS,1.64,1.65,0.67,EDT,-14400000,EQUITY
NXTC,'NextCure, Inc.',2019-06-10T16:05:00.000Z,TAS,-0.53,-4.46,-741.51,EDT,-14400000,EQUITY
SHLO,'Shiloh Industries, Inc.',2019-06-10T07:00:00.000Z,TAS,0.01,0.24,2300,UTC,0,EQUITY
LAKE,'Lakeland Industries, Inc.',2019-06-10T16:12:00.000Z,TAS,0.03,-0.06,-300,EDT,-14400000,EQUITY
UXIN,Uxin Limited,2019-06-10T12:01:00.000Z,TAS,-1.28,-0.78,39.06,EDT,-14400000,EQUITY
SPCB,SuperCom Ltd.,2019-06-10T08:00:00.000Z,TAS,,0.06,,EDT,-14400000,EQUITY
