ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
KALU,2021-07-21T16:30:00.000Z,TAS,1.44,1,-30.41,EDT,-14400000,EQUITY
VTWRF,2021-07-22T02:09:00.000Z,TAS,0.17,,,EDT,-14400000,EQUITY
BTSNF,2021-07-22T01:30:00.000Z,TAS,2.19,2.54,15.82,EDT,-14400000,EQUITY
BOLIF,2021-07-21T11:16:00.000Z,TAS,8.87,8,-9.83,EDT,-14400000,EQUITY
EQBBF,2021-07-22T01:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RNWEF,2021-07-22T00:55:00.000Z,TAS,-0.03,-0.01,66.67,EDT,-14400000,EQUITY
NENTF,2021-07-22T01:30:00.000Z,TAS,2.71,3.41,25.69,EDT,-14400000,EQUITY
MPZAF,2021-07-22T01:34:00.000Z,TAS,1.94,2.08,7.49,EDT,-14400000,EQUITY
KARBF,2021-07-22T02:06:00.000Z,TAS,0.28,-0.1,-135.61,EDT,-14400000,EQUITY
TGSNF,2021-07-22T01:00:00.000Z,TAS,-0.09,-0.1,-12.36,EDT,-14400000,EQUITY
PBAM,2021-07-21T05:45:00.000Z,TAS,0.67,0.75,11.44,EDT,-14400000,EQUITY
SDTHF,2021-07-22T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CMHFF,2021-07-21T19:08:00.000Z,TAS,,-0.01,,EDT,-14400000,EQUITY
ANTM,2021-07-21T06:00:00.000Z,TAS,6.33,7.03,11.02,EDT,-14400000,EQUITY
AMTB,2021-07-21T17:00:00.000Z,TAS,0.38,0.42,11.41,EDT,-14400000,EQUITY
CHLTF,2021-07-21T19:33:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ALFFF,2021-07-21T16:15:00.000Z,TAS,0.54,0.4,-25.23,EDT,-14400000,EQUITY
PGEJF,2021-07-22T02:00:00.000Z,TAS,-0.07,-0.32,-355.71,EDT,-14400000,EQUITY
ALPKF,2021-07-21T18:53:00.000Z,TAS,0.67,1.18,75.07,EDT,-14400000,EQUITY
USAP,2021-07-21T06:45:00.000Z,TAS,-0.25,-0.28,-12,EDT,-14400000,EQUITY
NVS,2021-07-21T18:18:00.000Z,TAS,1.53,1.66,8.28,EDT,-14400000,EQUITY
RTERF,2021-07-22T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ITSHF,2021-07-22T02:00:00.000Z,TAS,,0.04,,UTC,0,EQUITY
ABB,2021-07-22T00:47:00.000Z,TAS,0.35,0.38,8.57,EDT,-14400000,EQUITY
WRLD,2021-07-21T07:30:00.000Z,TAS,2.01,2.44,21.7,EDT,-14400000,EQUITY
ABLZF,2021-07-22T00:47:00.000Z,TAS,0.35,0.38,8.57,EDT,-14400000,EQUITY
IENVF,2021-07-21T19:06:00.000Z,TAS,0.08,0.08,0,EDT,-14400000,EQUITY
AXTLF,2021-07-21T18:54:00.000Z,TAS,0.16,0.02,-87.5,EDT,-14400000,EQUITY
ECTXF,2021-07-22T02:00:00.000Z,TAS,0.42,0.58,37.12,EDT,-14400000,EQUITY
GBDMF,2021-07-22T01:34:00.000Z,TAS,,,,EDT,-14400000,EQUITY
INJJF,2021-07-22T01:00:00.000Z,TAS,6.64,6.73,1.34,EDT,-14400000,EQUITY
LPKFF,2021-07-21T13:34:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SWDAF,2021-07-21T12:45:00.000Z,TAS,0.37,0.55,48.65,EDT,-14400000,EQUITY
TMNSF,2021-07-21T12:35:00.000Z,TAS,0.85,0.89,5.08,EDT,-14400000,EQUITY
TCBI,2021-07-21T16:00:00.000Z,TAS,1.21,1.31,8.09,EDT,-14400000,EQUITY
TBK,2021-07-21T16:07:00.000Z,TAS,1.02,1.08,5.99,EDT,-14400000,EQUITY
BEDU,2021-07-21T18:30:00.000Z,TAS,1.15,1.49,29.57,EDT,-14400000,EQUITY
BPHLF,2021-07-21T22:06:00.000Z,TAS,1.53,1.51,-1.37,EDT,-14400000,EQUITY
BOUVF,2021-07-21T12:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
OSBC,2021-07-21T17:30:00.000Z,TAS,0.32,0.3,-5.66,EDT,-14400000,EQUITY
CTBI,2021-07-21T08:15:00.000Z,TAS,1.11,1.34,20.72,EDT,-14400000,EQUITY
STXB,2021-07-21T16:15:00.000Z,TAS,0.53,0.7,32.08,EDT,-14400000,EQUITY
SAL,2021-07-21T12:34:00.000Z,TAS,1.48,1.52,2.7,EDT,-14400000,EQUITY
WASH,2021-07-21T16:18:00.000Z,TAS,1.07,1,-6.72,EDT,-14400000,EQUITY
BXS,2021-07-21T16:30:00.000Z,TAS,0.67,0.69,3.6,UTC,0,EQUITY
CVCY,2021-07-21T16:00:00.000Z,TAS,0.47,0.6,27.66,EDT,-14400000,EQUITY
FMAO,2021-07-21T08:00:00.000Z,TAS,0.46,0.44,-4.35,EDT,-14400000,EQUITY
OFG,2021-07-21T07:30:00.000Z,TAS,0.53,0.78,47.17,EDT,-14400000,EQUITY
MTB,2021-07-21T06:42:00.000Z,TAS,3.62,3.41,-5.72,EDT,-14400000,EQUITY
INBK,2021-07-21T16:22:00.000Z,TAS,1.21,1.31,8.71,EDT,-14400000,EQUITY
BOKF,2021-07-21T07:55:00.000Z,TAS,1.82,2.4,32.01,EDT,-14400000,EQUITY
BKNIY,2021-07-22T02:04:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CADE,2021-07-21T16:30:00.000Z,TAS,0.67,0.69,3.6,EDT,-14400000,EQUITY
HBMD,2021-07-21T16:01:00.000Z,TAS,0.32,0.4,23.84,UTC,0,EQUITY
BKR,2021-07-21T07:06:00.000Z,TAS,0.16,0.1,-36.71,EDT,-14400000,EQUITY
