ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ESTRF,'Estre Ambiental, Inc.',2018-06-20T10:40:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SWBIV,'Smith & Wesson Brands, Inc.',2018-06-20T16:09:00.000Z,TAS,0.1,0.24,133.01,UTC,0,EQUITY
SWBI,'Smith & Wesson Brands, Inc.',2018-06-20T16:09:00.000Z,TAS,0.1,0.24,133.01,EDT,-14400000,EQUITY
AOBC,'Smith & Wesson Brands, Inc.',2018-06-20T16:09:00.000Z,TAS,0.1,0.24,133.01,UTC,0,EQUITY
BNED,'Barnes & Noble Education, Inc.',2018-06-20T16:03:00.000Z,TAS,-0.01,0.36,2500,EDT,-14400000,EQUITY
NWHAF,Handa Mining Corporation,2018-06-20T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EPAC,Enerpac Tool Group Corp.,2018-06-20T08:30:00.000Z,TAS,0.36,0.39,9.24,EDT,-14400000,EQUITY
CCARF,Colonial Coal International Corp.,2018-06-20T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
HNWEF,Hanwei Energy Services Corp.,2018-06-20T16:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RRTS,'Roadrunner Transportation Systems, Inc.',2018-06-20T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SLYQF,Pounce Technologies Inc.,2018-06-20T17:00:00.000Z,TAS,,,,UTC,0,EQUITY
SCS,Steelcase Inc.,2018-06-20T16:22:00.000Z,TAS,0.14,0.14,-2.1,EDT,-14400000,EQUITY
WGO,'Winnebago Industries, Inc.',2018-06-20T07:00:00.000Z,TAS,0.91,1.02,12.33,EDT,-14400000,EQUITY
MU,'Micron Technology, Inc.',2018-06-20T16:01:00.000Z,TAS,3.14,3.15,0.25,EDT,-14400000,EQUITY
SOL,ReneSola Ltd,2018-06-20T06:31:00.000Z,TAS,0.01,0.14,1300,EDT,-14400000,EQUITY
