ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
ROYUF,2018-11-21T10:47:00.000Z,TAS,6.55,6.9,5.34,EST,-18000000,EQUITY
AMMHF,2018-11-21T23:43:00.000Z,TAS,,,,EST,-18000000,EQUITY
CLQDF,2018-11-21T11:25:00.000Z,TAS,,,,EST,-18000000,EQUITY
ALVVF,2018-11-21T11:40:00.000Z,TAS,,,,UTC,0,EQUITY
IVUFF,2018-11-21T19:01:00.000Z,TAS,,0.21,,EST,-18000000,EQUITY
NFONF,2018-11-22T01:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
ALOT,2018-11-21T07:38:00.000Z,TAS,0.11,0.2,81.82,EST,-18000000,EQUITY
CLMOF,2018-11-22T02:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
ALLVF,2018-11-21T11:40:00.000Z,TAS,,,,UTC,0,EQUITY
ALLO,2018-11-21T21:41:00.000Z,TAS,-0.3,-10.71,-3411.48,EST,-18000000,EQUITY
STLFF,2018-11-22T01:00:00.000Z,TAS,2.07,2.4,15.94,EST,-18000000,EQUITY
NEVPF,2018-11-22T02:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
FBKIF,2018-11-21T10:14:00.000Z,TAS,,,,EST,-18000000,EQUITY
SPZRF,2018-11-21T05:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
BWLLF,2018-11-21T05:58:00.000Z,TAS,-0.05,-0.02,61.54,EST,-18000000,EQUITY
BDGSF,2018-11-22T02:01:00.000Z,TAS,,,,EST,-18000000,EQUITY
BIOYF,2018-11-21T08:17:00.000Z,TAS,0.12,0.09,-23.08,EST,-18000000,EQUITY
BFSAF,2018-11-22T01:30:00.000Z,TAS,0.56,0.53,-5.36,EST,-18000000,EQUITY
TBLMY,2018-11-22T00:31:00.000Z,TAS,,,,EST,-18000000,EQUITY
CIHPF,2018-11-22T04:17:00.000Z,TAS,,,,EST,-18000000,EQUITY
BCEKF,2018-11-21T17:54:00.000Z,TAS,-0.01,-0.03,-200,EST,-18000000,EQUITY
TBLMF,2018-11-22T00:31:00.000Z,TAS,,,,EST,-18000000,EQUITY
SBMFF,2018-11-22T03:31:00.000Z,TAS,0.05,0.04,-13.73,EST,-18000000,EQUITY
ORZCF,2018-11-21T10:11:00.000Z,TAS,-0.01,-0.01,0,EST,-18000000,EQUITY
MEXGF,2018-11-21T17:08:00.000Z,TAS,,,,EST,-18000000,EQUITY
PZZPF,2018-11-21T08:36:00.000Z,TAS,,,,UTC,0,EQUITY
ECRFF,2018-11-21T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
DE,2018-11-21T06:19:00.000Z,TAS,2.45,2.3,-6.05,EST,-18000000,EQUITY
SQM,2018-11-21T21:53:00.000Z,TAS,0.4,0.32,-20.4,EST,-18000000,EQUITY
DL,2018-11-21T06:44:00.000Z,TAS,,,,UTC,0,EQUITY
TRSSF,2018-11-21T17:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
BRLGF,2018-11-21T17:35:00.000Z,TAS,0.03,-0.29,-978.79,EST,-18000000,EQUITY
CMCM,2018-11-21T07:15:00.000Z,TAS,1.16,1.27,9.67,EST,-18000000,EQUITY
HDRSF,2018-11-21T09:54:00.000Z,TAS,,,,EST,-18000000,EQUITY
DTPKF,2018-11-22T04:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
DWWEF,2018-11-21T07:50:00.000Z,TAS,,,,EST,-18000000,EQUITY
DAKT,2018-11-21T07:30:00.000Z,TAS,0.19,0.19,2.7,EST,-18000000,EQUITY
PTOAF,2018-11-21T17:01:00.000Z,TAS,,,,EST,-18000000,EQUITY
DKDRF,2018-11-21T06:03:00.000Z,TAS,,,,EST,-18000000,EQUITY
HFIAF,2018-11-22T02:00:00.000Z,TAS,-0.28,-0.31,-9.54,EST,-18000000,EQUITY
PATI,2018-11-21T17:56:00.000Z,TAS,,,,EST,-18000000,EQUITY
PLNTQ,2018-11-21T17:28:00.000Z,TAS,,,,EST,-18000000,EQUITY
IFRX,2018-11-21T08:30:00.000Z,TAS,-0.36,-0.26,27.37,EST,-18000000,EQUITY
MTRAF,2018-11-21T07:00:00.000Z,TAS,0.63,0.63,-0.16,EST,-18000000,EQUITY
RSGUF,2018-11-21T17:01:00.000Z,TAS,0.11,0.12,11.11,EST,-18000000,EQUITY
MMX,2018-11-21T08:30:00.000Z,TAS,0.01,0.02,25,EST,-18000000,EQUITY
KMUXF,2018-11-22T02:00:00.000Z,TAS,0.14,0.16,14.29,EST,-18000000,EQUITY
TC,2018-11-21T17:32:00.000Z,TAS,,,,EST,-18000000,EQUITY
TLSA,2018-11-21T17:07:00.000Z,TAS,,,,EST,-18000000,EQUITY
ZFPPF,2018-11-21T06:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
VPPNF,2018-11-21T06:52:00.000Z,TAS,,,,UTC,0,EQUITY
