ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
APTX,Aptinyx Inc.,2018-06-21T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AMSWA,'American Software, Inc.',2018-06-21T16:05:00.000Z,TAS,0.04,0.04,0,EDT,-14400000,EQUITY
AVRO,'AVROBIO, Inc.',2018-06-21T17:03:00.000Z,TAS,,,,EDT,-14400000,EQUITY
XERS,'Xeris Biopharma Holdings, Inc.',2018-06-21T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BYSI,BeyondSpring Inc.,2018-06-21T07:00:00.000Z,TAS,-0.73,-0.61,16.78,EDT,-14400000,EQUITY
MFOYY,Public Joint Stock Company MegaFon,2018-06-21T05:18:00.000Z,TAS,11.7,10,-14.49,UTC,0,EQUITY
PDCO,'Patterson Companies, Inc.',2018-06-21T07:00:00.000Z,TAS,0.3,0.3,-0.33,EDT,-14400000,EQUITY
IGC,'India Globalization Capital, Inc.',2018-06-21T17:53:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IGC-WT,'India Globalization Capital, Inc.',2018-06-21T17:53:00.000Z,TAS,,,,UTC,0,EQUITY
KR,The Kroger Co.,2018-06-21T07:33:00.000Z,TAS,0.63,0.73,16.06,EDT,-14400000,EQUITY
CMC,Commercial Metals Company,2018-06-21T06:45:00.000Z,TAS,0.42,0.41,-3.07,EDT,-14400000,EQUITY
EQX,Equinox Gold Corp.,2018-06-21T07:12:00.000Z,TAS,-0.06,-0.05,12.28,EDT,-14400000,EQUITY
DRI,'Darden Restaurants, Inc.',2018-06-21T07:00:00.000Z,TAS,1.35,1.39,3.12,EDT,-14400000,EQUITY
EIDX,'Eidos Therapeutics, Inc.',2018-06-21T17:10:00.000Z,TAS,,,,UTC,0,EQUITY
MEI,'Methode Electronics, Inc.',2018-06-21T06:30:00.000Z,TAS,0.74,0.98,32.97,EDT,-14400000,EQUITY
SGH,'SMART Global Holdings, Inc.',2018-06-21T16:05:00.000Z,TAS,1.77,1.84,3.78,EDT,-14400000,EQUITY
IPLPF,IPL Plastics Inc.,2018-06-21T17:05:00.000Z,TAS,,,,UTC,0,EQUITY
IIIV,'i3 Verticals, Inc.',2018-06-21T17:08:00.000Z,TAS,,,,EDT,-14400000,EQUITY
KOJAF,Kojamo Oyj,2018-06-21T10:36:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NKRSF,Niko Resources Ltd.,2018-06-21T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
