ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
AKTX,'Akari Therapeutics, Plc',2021-06-29T16:01:00.000Z,TAS,0,0,,EDT,-14400000,EQUITY
AMYZF,American Manganese Inc.,2021-06-29T19:34:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DUSXF,Dustin Group AB (publ),2021-06-30T02:00:00.000Z,TAS,1.17,1.08,-7.45,EDT,-14400000,EQUITY
ANCTF,Alimentation Couche-Tard Inc.,2021-06-29T17:24:00.000Z,TAS,0.42,0.52,22.64,EDT,-14400000,EQUITY
CDMO,'Avid Bioservices, Inc.',2021-06-29T16:05:00.000Z,TAS,0.01,-0.04,-900,EDT,-14400000,EQUITY
TDAC,Trident Acquisitions Corp.,2021-06-29T18:51:00.000Z,TAS,,,,UTC,0,EQUITY
ANCUF,Alimentation Couche-Tard Inc.,2021-06-29T17:24:00.000Z,TAS,0.44,0.52,17.38,UTC,0,EQUITY
LMPX,'LMP Automotive Holdings, Inc.',2021-06-29T16:18:00.000Z,TAS,,,,EDT,-14400000,EQUITY
POWW,'AMMO, Inc.',2021-06-29T16:05:00.000Z,TAS,-0.01,-0.01,-42.86,EDT,-14400000,EQUITY
TOBAF,TAAT Global Alternatives Inc.,2021-06-29T17:44:00.000Z,TAS,,,,EDT,-14400000,EQUITY
QCCUF,QC Copper and Gold Inc.,2021-06-29T17:11:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MGFRF,MagForce AG,2021-06-30T02:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AVAV,'AeroVironment, Inc.',2021-06-29T16:10:00.000Z,TAS,0.81,1.04,28.08,EDT,-14400000,EQUITY
BRCN,Burcon NutraScience Corporation,2021-06-29T16:17:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SRBCF,Sirona Biochem Corp.,2021-06-29T17:31:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BNED,'Barnes & Noble Education, Inc.',2021-06-29T16:15:00.000Z,TAS,-0.57,-0.86,-50.88,EDT,-14400000,EQUITY
DTRC,Dakota Territory Resource Corp.,2021-06-29T06:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TIKK,Tel-Instrument Electronics Corp.,2021-06-29T16:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CNONF,Lynx Global Digital Finance Corporation,2021-06-29T19:26:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GMBT,Queen's Gambit Growth Capital,2021-06-29T17:20:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SWVL,Swvl Holdings Corp.,2021-06-29T17:20:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EPAC,Enerpac Tool Group Corp.,2021-06-29T08:30:00.000Z,TAS,0.18,0.28,60,EDT,-14400000,EQUITY
WESMF,West Mining Corp.,2021-06-29T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CJREF,Corus Entertainment Inc.,2021-06-29T06:00:00.000Z,TAS,0.2,0.21,6.6,EDT,-14400000,EQUITY
DSKIF,'Daiseki Co.,Ltd.',2021-06-30T02:00:00.000Z,TAS,,38.99,,EDT,-14400000,EQUITY
CCARF,Colonial Coal International Corp.,2021-06-29T13:55:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FDVXF,FenixOro Gold Corp.,2021-06-29T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ETRGF,Entourage Health Corp.,2021-06-29T07:02:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NCLTF,'Nitori Holdings Co., Ltd.',2021-06-30T02:00:00.000Z,TAS,229.95,257.96,12.18,EDT,-14400000,EQUITY
YGTFF,Gold Terra Resource Corp.,2021-06-29T16:55:00.000Z,TAS,0,0,,EDT,-14400000,EQUITY
CGNSF,Cognetivity Neurosciences Ltd.,2021-06-29T17:23:00.000Z,TAS,-0.01,-0.01,0,EDT,-14400000,EQUITY
CDYCF,Cardero Resource Corp.,2021-06-29T13:21:00.000Z,TAS,,,,UTC,0,EQUITY
GP,GreenPower Motor Company Inc.,2021-06-29T08:30:00.000Z,TAS,-0.07,-0.12,-81.82,EDT,-14400000,EQUITY
VOTDF,VOTI Detection Inc.,2021-06-29T18:36:00.000Z,TAS,-0.03,-0.07,-133.33,EDT,-14400000,EQUITY
DLVHF,Delivery Hero SE,2021-06-29T05:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TNP,Tsakos Energy Navigation Limited,2021-06-29T08:30:00.000Z,TAS,-0.85,-0.8,6.32,EDT,-14400000,EQUITY
FEIM,'Frequency Electronics, Inc.',2021-06-29T16:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
UNHLF,EC Healthcare,2021-06-29T18:10:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FDS,FactSet Research Systems Inc.,2021-06-29T07:00:00.000Z,TAS,2.75,2.72,-0.91,EDT,-14400000,EQUITY
PGNRF,Pan Global Resources Inc.,2021-06-29T16:14:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GRUSF,Grown Rogue International Inc.,2021-06-29T18:31:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MODD,'Modular Medical, Inc.',2021-06-29T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
LTRY,Lottery.com Inc.,2021-06-29T18:51:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SNANF,Sona Nanotech Inc.,2021-06-29T13:03:00.000Z,TAS,,,,EDT,-14400000,EQUITY
NG,NovaGold Resources Inc.,2021-06-29T17:06:00.000Z,TAS,-0.03,-0.03,0,EDT,-14400000,EQUITY
SHMP,NaturalShrimp Incorporated,2021-06-29T17:03:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TCYSF,Tecsys Inc.,2021-06-29T17:10:00.000Z,TAS,0.14,0.14,0,EDT,-14400000,EQUITY
VTGN,'VistaGen Therapeutics, Inc.',2021-06-29T16:08:00.000Z,TAS,-0.05,-0.2,-300,EDT,-14400000,EQUITY
REVNF,Reinet Investments S.C.A.,2021-06-29T17:09:00.000Z,TAS,,,,EDT,-14400000,EQUITY
