Date, Ticker, Percent Return
2021-01-04T05:00:00Z,ANTE,0.02
2021-02-11T05:00:00Z,ANTE,0.02
2021-02-18T05:00:00Z,ANTE,0.02
2021-03-10T05:00:00Z,ANTE,0.02
2019-05-07T04:00:00Z,SBGI,0.02
2020-11-10T05:00:00Z,SITC,0.02
2020-04-17T04:00:00Z,ISSC,0.02
2019-02-21T05:00:00Z,KNDI,0.02
2020-04-14T04:00:00Z,KNDI,0.02
2020-07-30T04:00:00Z,KNDI,0.02
2020-11-20T05:00:00Z,KNDI,0.02
2020-03-23T04:00:00Z,TRNS,0.02
2020-03-25T04:00:00Z,UAL,0.02
2020-03-26T04:00:00Z,EFC,0.02
2020-04-09T04:00:00Z,EFC,0.02
2020-03-20T04:00:00Z,EEX,0.02
2020-05-06T04:00:00Z,EEX,-0.2397
2020-05-27T04:00:00Z,EEX,0.02
2020-06-05T04:00:00Z,EEX,0.02
2020-10-02T04:00:00Z,EEX,0.02
2020-11-10T05:00:00Z,RPT,0.02
2018-11-01T04:00:00Z,VCYT,0.02
2020-03-16T04:00:00Z,USAC,0.02
2020-03-20T04:00:00Z,USAC,0.02
2019-04-04T04:00:00Z,OESX,0.02
2019-05-21T04:00:00Z,OESX,0.02
2020-03-20T04:00:00Z,NOG,0.02
2020-06-09T04:00:00Z,NOG,0.02
2020-02-21T05:00:00Z,BXC,0.02
2020-05-28T04:00:00Z,BXC,0.02
2020-03-18T04:00:00Z,SPOK,0.02
2020-03-25T04:00:00Z,TPR,0.02
2018-11-02T04:00:00Z,AMSC,0.02
2021-06-11T04:00:00Z,AMSC,-0.143341
2020-05-20T04:00:00Z,SVT,-0.0604265
2019-01-08T05:00:00Z,SCYX,0.02
2019-02-01T05:00:00Z,SCYX,0.02
2020-04-14T04:00:00Z,MN,0.02
2020-04-16T04:00:00Z,MN,0.02
2020-03-20T04:00:00Z,LOVE,0.02
2020-04-13T04:00:00Z,LOVE,0.02
2020-04-20T04:00:00Z,LOVE,0.02
2021-01-27T05:00:00Z,VIR,0.02
2021-03-18T04:00:00Z,VIR,-0.095754
2020-06-02T04:00:00Z,INSE,0.02
2020-07-13T04:00:00Z,INSE,0.02
2018-12-28T05:00:00Z,BTAI,0.02
2019-01-08T05:00:00Z,BTAI,0.02
2020-01-03T05:00:00Z,BTAI,0.02
2020-02-14T05:00:00Z,BTAI,0.02
2020-02-18T05:00:00Z,BTAI,0.02
2020-09-02T04:00:00Z,JNCE,0.02
2020-03-20T04:00:00Z,CEQP,0.02
2018-06-08T04:00:00Z,AVHI,0.02
2019-01-07T05:00:00Z,DRRX,0.02
2019-05-06T04:00:00Z,DRRX,0.02
2019-07-23T04:00:00Z,DRRX,0.02
2018-06-29T04:00:00Z,BV,0.02
2020-03-25T04:00:00Z,W,0.02
2020-04-07T04:00:00Z,W,0.02
2018-06-20T04:00:00Z,ASTC,0.02
2018-09-24T04:00:00Z,ASTC,0.02
2018-12-13T05:00:00Z,ASTC,0.02
2018-12-24T05:00:00Z,ASTC,0.02
2020-03-26T04:00:00Z,ASTC,0.02
2020-04-13T04:00:00Z,ASTC,0.02
2020-10-28T04:00:00Z,ASTC,-0.223642
2019-02-05T05:00:00Z,VYGR,-0.0227066
2020-03-25T04:00:00Z,UBOT,0.02
2020-04-27T04:00:00Z,UBOT,0.02
2021-05-07T04:00:00Z,WW,0.02
2019-03-15T04:00:00Z,MDB,0.02
2020-01-30T05:00:00Z,SLM,-0.0375874
2019-10-30T04:00:00Z,AMKR,0.02
2020-03-20T04:00:00Z,THC,0.02
2020-04-09T04:00:00Z,THC,0.02
2020-05-15T04:00:00Z,CLLS,0.02
2018-07-26T04:00:00Z,VRAY,0.02
2019-12-10T05:00:00Z,VRAY,-0.0410959
2020-08-05T04:00:00Z,VRAY,0.02
2021-01-05T05:00:00Z,VRAY,0.02
2018-07-09T04:00:00Z,ACIU,0.02
2021-06-14T04:00:00Z,ACIU,0.02
2019-05-29T04:00:00Z,XELA,0.02
2019-10-07T04:00:00Z,XELA,0.02
2020-03-26T04:00:00Z,XELA,0.02
2020-05-01T04:00:00Z,XELA,0.02
2020-07-29T04:00:00Z,XELA,0.02
2020-12-21T05:00:00Z,XELA,0.02
2021-01-15T05:00:00Z,XELA,0.02
2021-01-26T05:00:00Z,XELA,0.02
2021-01-27T05:00:00Z,XELA,0.02
2021-03-10T05:00:00Z,XELA,0.02
2021-06-30T04:00:00Z,XELA,0.02
2021-07-07T04:00:00Z,XELA,0.02
2021-07-14T04:00:00Z,XELA,0.02
2020-12-02T05:00:00Z,CNXC,0.02
2019-01-08T05:00:00Z,PFMT,-0.109453
2020-09-29T04:00:00Z,PFMT,0.02
2020-10-19T04:00:00Z,PFMT,-0.295775
2020-02-28T05:00:00Z,DCO,-0.2041
2019-12-27T05:00:00Z,VRNA,0.02
2020-03-23T04:00:00Z,VRNA,0.02
2020-07-24T04:00:00Z,VRNA,-0.186992
2020-03-25T04:00:00Z,TVTY,0.02
2020-03-26T04:00:00Z,TVTY,0.02
2020-08-11T04:00:00Z,TVTY,0.02
2020-02-04T05:00:00Z,GURE,0.02
2018-12-26T05:00:00Z,QUIK,0.02
2019-02-05T05:00:00Z,QUIK,0.02
2019-12-06T05:00:00Z,QUIK,0.02
2021-02-17T05:00:00Z,QUIK,0.02
2019-02-07T05:00:00Z,STON,0.02
2019-07-08T04:00:00Z,STON,-0.109091
2019-08-23T04:00:00Z,STON,-0.205128
2020-12-22T05:00:00Z,STON,0.02
2021-03-22T04:00:00Z,STON,0.02
2021-04-19T04:00:00Z,STON,0.02
2020-08-28T04:00:00Z,HARP,-0.183365
2020-03-20T04:00:00Z,JOB,0.02
2020-03-25T04:00:00Z,JOB,0.02
2020-03-26T04:00:00Z,JOB,0.02
2020-06-04T04:00:00Z,JOB,0.02
2020-06-16T04:00:00Z,JOB,-0.0544018
2020-07-06T04:00:00Z,JOB,0.02
2020-08-07T04:00:00Z,JOB,0.02
2020-03-27T04:00:00Z,GPMT,0.02
2020-04-09T04:00:00Z,GPMT,0.02
2020-04-17T04:00:00Z,GPMT,-0.221875
2020-06-09T04:00:00Z,GPMT,0.02
2020-07-17T04:00:00Z,ARC,0.02
2020-07-30T04:00:00Z,ARC,0.02
2020-06-03T04:00:00Z,DLA,-0.112202
2020-03-20T04:00:00Z,STAR,0.02
2020-06-09T04:00:00Z,SND,0.02
2019-01-02T05:00:00Z,AXSM,0.02
2019-01-08T05:00:00Z,AXSM,0.02
2019-01-15T05:00:00Z,AXSM,-0.0479616
2019-04-01T04:00:00Z,AXSM,-0.180218
2019-12-18T05:00:00Z,AXSM,0.02
2021-01-19T05:00:00Z,BCYC,0.02
2021-06-16T04:00:00Z,AMSWA,-0.110626
2020-03-20T04:00:00Z,PAGP,0.02
2020-03-24T04:00:00Z,PAGP,0.02
2018-11-02T04:00:00Z,FORM,0.02
2020-06-17T04:00:00Z,SALM,0.02
2020-07-16T04:00:00Z,SALM,0.02
2020-07-20T04:00:00Z,SALM,0.02
2020-09-14T04:00:00Z,SALM,0.02
2020-10-08T04:00:00Z,SALM,0.02
2021-02-10T05:00:00Z,SALM,0.02
2021-03-03T05:00:00Z,SALM,-0.0935484
2020-03-20T04:00:00Z,AL,0.02
2020-03-25T04:00:00Z,AL,0.02
2019-01-10T05:00:00Z,BW,0.02
2019-04-08T04:00:00Z,BW,0.02
2020-05-19T04:00:00Z,BW,-0.0855856
2020-08-28T04:00:00Z,REKR,0.02
2020-11-02T05:00:00Z,REKR,0.02
2020-03-16T04:00:00Z,FAS,0.02
2020-03-25T04:00:00Z,FAS,0.02
2019-02-26T05:00:00Z,MX,-0.130631
2021-04-05T04:00:00Z,MX,0.02
2020-11-11T05:00:00Z,AMPY,0.02
2020-03-20T04:00:00Z,SUN,0.02
2021-02-02T05:00:00Z,ICLK,0.02
2019-04-03T04:00:00Z,SGMO,0.02
2020-12-11T05:00:00Z,SGMO,0.02
2020-03-16T04:00:00Z,CTRA,0.02
2020-03-26T04:00:00Z,CTRA,0.02
2020-04-09T04:00:00Z,CTRA,0.02
2020-06-08T04:00:00Z,CTRA,0.02
2020-09-21T04:00:00Z,CTRA,0.02
2021-02-02T05:00:00Z,ALYA,0.02
2020-03-20T04:00:00Z,RCKT,0.02
2020-12-16T05:00:00Z,RCKT,-0.143147
2020-11-10T05:00:00Z,WBT,0.02
2021-04-28T04:00:00Z,WBT,-0.00487157
2020-03-16T04:00:00Z,GEL,0.02
2020-04-02T04:00:00Z,GEL,0.02
2019-06-21T04:00:00Z,FRSX,0.02
2019-07-01T04:00:00Z,FRSX,0.02
2020-05-05T04:00:00Z,FRSX,0.02
2020-11-24T05:00:00Z,FRSX,0.02
2020-12-23T05:00:00Z,FRSX,0.02
2020-12-24T05:00:00Z,FRSX,0.02
2021-01-14T05:00:00Z,FRSX,0.02
2021-01-20T05:00:00Z,FRSX,0.02
2021-03-02T05:00:00Z,FRSX,0.02
2021-05-24T04:00:00Z,FRSX,-0.125581
2018-06-14T04:00:00Z,ENPH,0.02
2019-05-02T04:00:00Z,ENPH,0.02
2019-08-01T04:00:00Z,ENPH,0.02
2020-02-20T05:00:00Z,ENPH,0.02
2020-03-20T04:00:00Z,NCR,0.02
2019-12-24T05:00:00Z,ITCI,0.02
2020-09-10T04:00:00Z,ITCI,0.02
2019-11-22T05:00:00Z,KNSA,0.02
2020-04-01T04:00:00Z,KNSA,0.02
2019-06-11T04:00:00Z,MHLD,0.02
